"Global X MSCI China Materials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
03/20/2019,16.51,-0.19,-1.14,-0.24,-1.44
03/19/2019,16.7,-0.08,-0.48,-0.17,-0.99
03/18/2019,16.78,-0.02,-0.12,-0.06,-0.35
03/15/2019,16.8,0.08,0.48,-0.04,-0.21
03/14/2019,16.72,-0.12,-0.71,-0.05,-0.33
03/13/2019,16.84,-0.02,-0.12,-0.08,-0.49
03/12/2019,16.86,0.04,0.24,-0.20,-1.15
03/11/2019,16.82,0.22,1.33,-0.04,-0.25
03/08/2019,16.6,-0.67,-3.88,-0.26,-1.56
03/07/2019,17.27,-0.21,-1.20,-0.40,-2.24
03/06/2019,17.48,0.05,0.29,-0.36,-2.00
03/05/2019,17.43,0.00,0.00,-0.19,-1.08
03/04/2019,17.43,0.16,0.93,-0.31,-1.77
03/01/2019,17.27,0.26,1.53,-0.20,-1.16
02/28/2019,17.01,-0.13,-0.76,-0.20,-1.17
02/27/2019,17.14,-0.42,-2.39,-0.30,-1.71
02/26/2019,17.56,0.24,1.39,-0.09,-0.49
02/25/2019,17.32,0.31,1.82,-0.28,-1.61
02/22/2019,17.01,0.07,0.41,-0.22,-1.27
02/21/2019,16.94,-0.13,-0.76,-0.26,-1.53
02/20/2019,17.07,0.48,2.89,-0.01,-0.06
02/19/2019,16.59,0.36,2.22,-0.02,-0.14
02/15/2019,16.23,-0.04,-0.25,0.01,0.03
02/14/2019,16.27,-0.02,-0.12,-0.31,-1.87
02/13/2019,16.29,0.30,1.88,-0.27,-1.65
02/12/2019,15.99,-0.01,-0.06,-0.11,-0.67
02/11/2019,16,0.05,0.31,-0.10,-0.61
02/08/2019,15.95,0.14,0.89,-0.14,-0.85
02/07/2019,15.81,-0.17,-1.06,-0.27,-1.68
02/06/2019,15.98,-0.12,-0.75,-0.10,-0.63
02/05/2019,16.1,0.28,1.77,0.02,0.11
02/04/2019,15.82,-0.10,-0.63,-0.26,-1.63
02/01/2019,15.92,0.06,0.38,-0.18,-1.11
01/31/2019,15.86,0.34,2.19,-0.06,-0.35
01/30/2019,15.52,0.13,0.84,-0.03,-0.21
01/29/2019,15.39,0.16,1.05,-0.11,-0.70
01/28/2019,15.23,-0.10,-0.65,-0.29,-1.88
01/25/2019,15.33,0.20,1.32,-0.07,-0.45
01/24/2019,15.13,0.12,0.80,-0.12,-0.77
01/23/2019,15.01,0.20,1.35,-0.16,-1.06
01/22/2019,14.81,-0.51,-3.33,-0.29,-1.90
01/18/2019,15.32,0.30,2.00,-0.12,-0.75
01/17/2019,15.02,-0.03,-0.20,-0.20,-1.30
01/16/2019,15.05,0.11,0.74,-0.15,-1.01
01/15/2019,14.94,0.09,0.61,-0.30,-1.97
01/14/2019,14.85,0.06,0.41,-0.09,-0.58
01/11/2019,14.79,-0.14,-0.94,-0.19,-1.28
01/10/2019,14.93,0.11,0.74,-0.01,-0.06
01/09/2019,14.82,0.25,1.72,-0.04,-0.25
01/08/2019,14.57,0.06,0.41,-0.01,-0.08
01/07/2019,14.51,0.17,1.19,-0.11,-0.76
01/04/2019,14.34,0.00,0.00,0.00,-0.00
01/03/2019,14.34,-0.29,-1.98,0.05,0.37
01/02/2019,14.63,0.11,0.76,0.12,0.82
12/31/2018,14.52,-0.16,-1.09,-0.33,-2.21
12/28/2018,14.68,-0.51,-3.36,-0.10,-0.66
12/27/2018,15.19,-0.09,-0.59,-0.27,-1.76
12/26/2018,15.28,0.01,0.07,-0.17,-1.13
12/24/2018,15.27,0.05,0.33,-0.21,-1.37
12/21/2018,15.22,-0.32,-2.06,-0.38,-2.44
12/20/2018,15.54,-0.09,-0.58,-0.25,-1.59
12/19/2018,15.63,-0.33,-2.07,-0.39,-2.42
12/18/2018,15.96,0.11,0.69,-0.10,-0.60
12/17/2018,15.85,-0.41,-2.52,-0.30,-1.84
12/14/2018,16.26,0.01,0.06,0.07,0.44
12/13/2018,16.25,0.18,1.12,-0.23,-1.42
12/12/2018,16.07,0.08,0.50,0.07,0.42
12/11/2018,15.99,0.04,0.25,-0.03,-0.17
12/10/2018,15.95,0.04,0.25,-0.12,-0.77
12/07/2018,15.91,-0.53,-3.22,-0.32,-1.96
12/06/2018,16.44,0.07,0.43,0.10,0.59
12/05/2018,16.37,0.00,0.00,0.00,0.00
12/04/2018,16.37,-0.45,-2.68,-0.66,-3.86
12/03/2018,16.82,0.57,3.51,-0.16,-0.92
11/30/2018,16.25,0.08,0.49,-0.21,-1.29
11/29/2018,16.17,-0.16,-0.98,-0.15,-0.91
11/28/2018,16.33,0.21,1.30,0.05,0.28
11/27/2018,16.12,0.02,0.12,-0.07,-0.44
11/26/2018,16.1,0.10,0.63,-0.10,-0.65
11/23/2018,16,-0.48,-2.91,-0.24,-1.49
11/21/2018,16.48,0.32,1.98,-0.02,-0.10
