"Global X Copper Miners ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
03/20/2019,21.89,0.08,0.37,0.09,0.40
03/19/2019,21.81,0.20,0.93,0.01,0.03
03/18/2019,21.61,0.27,1.27,0.06,0.28
03/15/2019,21.34,0.12,0.57,0.01,0.04
03/14/2019,21.22,-0.27,-1.26,-0.04,-0.18
03/13/2019,21.49,0.06,0.28,0.02,0.08
03/12/2019,21.43,0.25,1.18,0.03,0.16
03/11/2019,21.18,0.35,1.68,0.05,0.22
03/08/2019,20.83,-0.37,-1.75,0.00,-0.02
03/07/2019,21.2,-0.54,-2.48,-0.13,-0.60
03/06/2019,21.74,-0.12,-0.55,-0.03,-0.16
03/05/2019,21.86,0.06,0.28,0.07,0.33
03/04/2019,21.8,-0.01,-0.05,-0.06,-0.27
03/01/2019,21.81,0.03,0.14,-0.07,-0.30
02/28/2019,21.78,-0.39,-1.76,-0.06,-0.29
02/27/2019,22.17,-0.39,-1.73,-0.08,-0.34
02/26/2019,22.56,0.03,0.13,0.02,0.09
02/25/2019,22.53,0.26,1.17,0.01,0.03
02/22/2019,22.27,0.69,3.20,0.02,0.09
02/21/2019,21.58,-0.28,-1.28,-0.11,-0.50
02/20/2019,21.86,0.64,3.02,0.02,0.07
02/19/2019,21.22,0.65,3.16,0.15,0.70
02/15/2019,20.57,0.38,1.88,0.17,0.82
02/14/2019,20.19,0.12,0.60,0.08,0.38
02/13/2019,20.07,0.15,0.75,-0.04,-0.19
02/12/2019,19.92,0.08,0.40,0.04,0.20
02/11/2019,19.84,-0.28,-1.39,0.07,0.34
02/08/2019,20.12,-0.17,-0.84,0.10,0.52
02/07/2019,20.29,-0.27,-1.31,0.02,0.10
02/06/2019,20.56,0.07,0.34,-0.05,-0.24
02/05/2019,20.49,0.15,0.74,0.07,0.33
02/04/2019,20.34,0.03,0.15,0.04,0.20
02/01/2019,20.31,-0.17,-0.83,-0.02,-0.08
01/31/2019,20.48,0.38,1.89,-0.01,-0.05
01/30/2019,20.1,0.48,2.45,0.10,0.50
01/29/2019,19.62,0.22,1.13,0.06,0.29
01/28/2019,19.4,-0.13,-0.67,0.05,0.24
01/25/2019,19.53,0.62,3.28,0.02,0.09
01/24/2019,18.91,-0.06,-0.32,0.00,0.02
01/23/2019,18.97,0.02,0.11,0.02,0.13
01/22/2019,18.95,-0.77,-3.90,-0.11,-0.59
01/18/2019,19.72,0.21,1.08,0.02,0.12
01/17/2019,19.51,0.18,0.93,0.13,0.67
01/16/2019,19.33,0.26,1.36,-0.01,-0.06
01/15/2019,19.07,-0.06,-0.31,-0.04,-0.19
01/14/2019,19.13,-0.06,-0.31,0.02,0.12
01/11/2019,19.19,0.00,0.00,-0.04,-0.19
01/10/2019,19.19,-0.01,-0.05,-0.01,-0.07
01/09/2019,19.2,0.35,1.86,0.01,0.07
01/08/2019,18.85,0.09,0.48,0.02,0.12
01/07/2019,18.76,0.14,0.75,0.06,0.32
01/04/2019,18.62,1.01,5.74,0.10,0.53
01/03/2019,17.61,-0.64,-3.51,-0.06,-0.33
01/02/2019,18.25,-0.11,-0.60,0.09,0.48
12/31/2018,18.36,0.14,0.77,-0.09,-0.48
12/28/2018,18.22,-0.37,-1.99,0.00,-0.00
12/27/2018,18.59,-0.05,-0.27,-0.02,-0.12
12/26/2018,18.64,0.32,1.75,0.16,0.87
12/24/2018,18.32,0.21,1.16,-0.06,-0.34
12/21/2018,18.11,-0.28,-1.52,-0.24,-1.31
12/20/2018,18.39,-0.21,-1.13,-0.10,-0.55
12/19/2018,18.6,-0.37,-1.95,-0.16,-0.86
12/18/2018,18.97,0.02,0.11,0.01,0.07
12/17/2018,18.95,-0.22,-1.15,-0.12,-0.65
12/14/2018,19.17,-0.25,-1.29,-0.02,-0.08
12/13/2018,19.42,-0.10,-0.51,-0.12,-0.63
12/12/2018,19.52,0.30,1.56,0.06,0.30
12/11/2018,19.22,0.33,1.75,0.07,0.37
12/10/2018,18.89,-0.46,-2.38,-0.01,-0.07
12/07/2018,19.35,-0.03,-0.15,-0.04,-0.23
12/06/2018,19.38,-0.66,-3.29,0.03,0.16
12/05/2018,20.04,0.00,0.00,0.00,0.00
12/04/2018,20.04,-0.61,-2.95,-0.25,-1.21
12/03/2018,20.65,0.93,4.72,-0.10,-0.47
11/30/2018,19.72,-0.01,-0.05,-0.02,-0.10
11/29/2018,19.73,0.28,1.44,0.00,0.01
11/28/2018,19.45,0.52,2.75,0.05,0.27
11/27/2018,18.93,-0.30,-1.56,-0.02,-0.13
11/26/2018,19.23,-0.02,-0.10,0.03,0.15
11/23/2018,19.25,-0.56,-2.83,-0.01,-0.06
11/21/2018,19.81,0.57,2.96,-0.03,-0.13
11/20/2018,19.24,-0.66,-3.32,-0.19,-0.97
11/19/2018,19.9,-0.24,-1.19,-0.14,-0.69
11/16/2018,20.14,0.12,0.60,0.01,0.03
11/15/2018,20.02,0.46,2.35,0.06,0.29
11/14/2018,19.56,-0.01,-0.05,-0.04,-0.21
11/13/2018,19.57,0.25,1.29,-0.10,-0.49
11/12/2018,19.32,-0.38,-1.93,-0.17,-0.86
11/09/2018,19.7,-0.76,-3.71,-0.16,-0.81
11/08/2018,20.46,-0.23,-1.11,-0.02,-0.11
11/07/2018,20.69,0.41,2.02,0.03,0.15
11/06/2018,20.28,-0.26,-1.27,-0.11,-0.53
11/05/2018,20.54,-0.10,-0.48,0.01,0.03
11/02/2018,20.64,0.34,1.67,-0.07,-0.33
11/01/2018,20.3,1.04,5.40,-0.04,-0.22
10/31/2018,19.26,0.47,2.50,-0.12,-0.64
10/30/2018,18.79,0.41,2.23,0.01,0.05
10/29/2018,18.38,-0.41,-2.18,-0.19,-1.02
10/26/2018,18.79,-0.01,-0.05,0.01,0.03
10/25/2018,18.8,0.14,0.75,0.07,0.38
10/24/2018,18.66,-0.79,-4.06,-0.14,-0.77
10/23/2018,19.45,-0.60,-2.99,0.06,0.28
10/22/2018,20.05,0.11,0.55,0.03,0.17
10/19/2018,19.94,-0.03,-0.15,0.00,-0.01
10/18/2018,19.97,-0.68,-3.29,-0.09,-0.44
10/17/2018,20.65,-0.24,-1.15,0.06,0.30
10/16/2018,20.89,0.17,0.82,0.10,0.48
10/15/2018,20.72,0.13,0.63,0.01,0.04
10/12/2018,20.59,0.24,1.18,-0.06,-0.29
10/11/2018,20.35,-0.05,-0.25,-0.04,-0.18
10/10/2018,20.4,-0.68,-3.23,-0.18,-0.89
10/09/2018,21.08,-0.04,-0.19,-0.02,-0.11
10/08/2018,21.12,-0.32,-1.49,0.02,0.11
10/05/2018,21.44,-0.46,-2.10,-0.04,-0.18
10/04/2018,21.9,-0.36,-1.62,-0.06,-0.29
10/03/2018,22.26,0.04,0.18,-0.02,-0.09
10/02/2018,22.22,0.00,0.00,0.02,0.08
10/01/2018,22.22,0.12,0.54,-0.03,-0.12
09/28/2018,22.1,0.11,0.50,0.00,-0.01
09/27/2018,21.99,-0.19,-0.86,-0.01,-0.05
09/26/2018,22.18,-0.23,-1.03,-0.10,-0.45
09/25/2018,22.41,0.06,0.27,0.00,0.01
09/24/2018,22.35,-0.30,-1.32,0.07,0.32
09/21/2018,22.65,0.34,1.52,0.00,0.01
09/20/2018,22.31,0.43,1.97,0.13,0.60
09/19/2018,21.88,0.62,2.92,0.13,0.62
09/18/2018,21.26,0.39,1.87,0.11,0.50
09/17/2018,20.87,0.01,0.05,0.05,0.24
09/14/2018,20.86,-0.03,-0.14,-0.02,-0.07
09/13/2018,20.89,0.24,1.16,0.12,0.56
09/12/2018,20.65,0.58,2.89,0.17,0.82
09/11/2018,20.07,-0.23,-1.13,0.06,0.28
09/10/2018,20.3,-0.05,-0.25,0.07,0.34
09/07/2018,20.35,-0.30,-1.45,-0.05,-0.25
09/06/2018,20.65,-0.17,-0.82,0.03,0.16
09/05/2018,20.82,0.12,0.58,0.02,0.11
09/04/2018,20.7,-0.70,-3.27,0.00,-0.01
08/31/2018,21.4,-0.24,-1.11,0.15,0.70
08/30/2018,21.64,-0.56,-2.52,0.01,0.05
08/29/2018,22.2,0.06,0.27,0.14,0.64
08/28/2018,22.14,0.03,0.14,-0.02,-0.10
08/27/2018,22.11,0.55,2.55,0.12,0.54
08/24/2018,21.56,0.40,1.89,0.08,0.39
08/23/2018,21.16,-0.42,-1.95,0.06,0.29
08/22/2018,21.58,0.16,0.75,0.06,0.27
08/21/2018,21.42,0.33,1.56,0.12,0.55
08/20/2018,21.09,0.11,0.52,0.10,0.48
08/17/2018,20.98,0.04,0.19,0.11,0.54
08/16/2018,20.94,0.24,1.16,0.08,0.39
08/15/2018,20.7,-1.16,-5.31,-0.01,-0.03
08/14/2018,21.86,-0.27,-1.22,-0.01,-0.03
08/13/2018,22.13,-0.32,-1.43,-0.05,-0.24
08/10/2018,22.45,-0.55,-2.39,-0.02,-0.10
08/09/2018,23,0.27,1.19,0.05,0.22
08/08/2018,22.73,-0.10,-0.44,0.01,0.05
08/07/2018,22.83,0.12,0.53,0.00,0.01
08/06/2018,22.71,-0.18,-0.79,0.07,0.32
08/03/2018,22.89,0.10,0.44,0.07,0.32
08/02/2018,22.79,-0.78,-3.31,0.06,0.27
08/01/2018,23.57,-0.56,-2.32,0.09,0.39
07/31/2018,24.13,0.37,1.56,0.05,0.21
07/30/2018,23.76,0.00,0.00,0.05,0.19
07/27/2018,23.76,-0.12,-0.50,-0.05,-0.19
07/26/2018,23.88,-0.15,-0.62,0.01,0.03
07/25/2018,24.03,0.26,1.09,0.27,1.14
07/24/2018,23.77,0.73,3.17,0.05,0.22
07/23/2018,23.04,-0.04,-0.17,0.10,0.45
07/20/2018,23.08,0.20,0.87,0.16,0.70
07/19/2018,22.88,-0.70,-2.97,0.01,0.02
07/18/2018,23.58,0.09,0.38,0.07,0.32
07/17/2018,23.49,0.21,0.90,0.03,0.11
07/16/2018,23.28,-0.15,-0.64,-0.02,-0.10
07/13/2018,23.43,-0.05,-0.21,0.03,0.15
07/12/2018,23.48,0.26,1.12,0.06,0.25
07/11/2018,23.22,-1.13,-4.64,-0.14,-0.61
07/10/2018,24.35,-0.07,-0.29,0.05,0.19
07/09/2018,24.42,0.70,2.95,0.01,0.05
07/06/2018,23.72,0.08,0.34,-0.04,-0.18
07/05/2018,23.64,-0.05,-0.21,0.01,0.03
07/03/2018,23.69,-0.14,-0.59,-0.05,-0.21
07/02/2018,23.83,-0.30,-1.24,-0.17,-0.69
06/29/2018,24.13,0.60,2.55,-0.10,-0.40
06/28/2018,23.53,-0.15,-0.63,-0.01,-0.04
06/27/2018,23.68,-0.37,-1.54,-0.22,-0.91
06/26/2018,24.05,-0.01,-0.04,-0.07,-0.29
06/25/2018,24.06,-0.87,-3.49,-0.07,-0.27
06/22/2018,24.93,0.30,1.22,0.06,0.22
06/21/2018,24.63,-0.06,-0.24,0.02,0.06
