Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,27.850000,28.280001,27.780001,28.139999,26.567087,1866200
2016-01-04,28.090000,28.330000,27.620001,28.100000,26.529324,3384500
2016-01-05,28.100000,28.180000,27.750000,28.160000,26.585968,2078400
2016-01-06,27.540001,27.580000,26.889999,27.070000,25.556896,1170000
2016-01-07,26.650000,27.080000,26.309999,26.420000,24.943232,2068100
2016-01-08,26.629999,26.629999,26.010000,26.120001,24.659998,1221300
2016-01-11,26.170000,26.200001,25.160000,25.440001,24.018007,1864800
2016-01-12,25.740000,25.850000,24.709999,25.360001,23.942478,2249400
2016-01-13,25.639999,25.840000,24.490000,24.730000,23.347694,3681500
2016-01-14,24.910000,25.740000,24.520000,25.559999,24.131298,4396600
2016-01-15,24.610001,25.049999,24.340000,24.790001,23.404339,3617000
2016-01-19,24.980000,25.040001,23.740000,24.120001,22.771790,3780300
2016-01-20,23.709999,23.959999,22.709999,23.660000,22.337500,4983700
2016-01-21,23.629999,24.730000,23.480000,24.469999,23.102222,3456700
2016-01-22,25.240000,25.680000,24.950001,25.520000,24.093533,4211300
2016-01-25,25.059999,25.580000,24.270000,24.290001,22.932285,1932300
2016-01-26,24.520000,25.250000,24.410000,25.200001,23.791420,1769300
2016-01-27,25.100000,25.830000,24.809999,25.250000,23.838627,2044300
2016-01-28,26.280001,26.280001,25.459999,25.940001,24.490059,2645100
2016-01-29,26.030001,26.830000,25.990000,26.790001,25.292547,3161000
2016-02-01,26.450001,26.510000,25.969999,26.340000,24.867701,1189600
2016-02-02,25.719999,25.809999,25.370001,25.480000,24.055771,1497500
2016-02-03,25.889999,26.459999,25.030001,26.450001,24.971552,1225300
2016-02-04,26.559999,27.240000,26.500000,26.629999,25.141487,1151300
2016-02-05,26.299999,26.400000,25.879999,26.080000,24.622236,1026500
2016-02-08,25.610001,25.950001,25.260000,25.850000,24.405088,1496700
2016-02-09,25.469999,25.780001,24.930000,25.240000,23.829184,1222200
2016-02-10,25.170000,25.620001,24.820000,25.110001,23.706455,1244500
2016-02-11,24.730000,25.139999,24.389999,24.980000,23.583719,1778300
2016-02-12,25.280001,25.850000,25.150000,25.709999,24.272913,1412300
2016-02-16,26.000000,26.070000,25.580000,25.940001,24.490059,819000
2016-02-17,26.260000,26.950001,26.200001,26.860001,25.358635,797000
2016-02-18,27.049999,27.070000,26.420000,26.610001,25.122612,818800
2016-02-19,26.320000,26.410000,26.010000,26.410000,24.933786,1747600
2016-02-22,26.889999,27.260000,26.830000,27.160000,25.641863,2541700
2016-02-23,27.000000,27.129999,26.309999,26.360001,24.886583,577400
2016-02-24,25.920000,26.709999,25.850000,26.680000,25.188694,880600
2016-02-25,26.540001,26.760000,26.200001,26.740000,25.245340,744300
2016-02-26,27.129999,27.260000,26.799999,26.889999,25.386953,715400
2016-02-29,27.040001,27.200001,26.760000,26.850000,25.349194,4580500
2016-03-01,27.090000,27.379999,26.730000,27.309999,25.783480,648600
2016-03-02,27.230000,28.080000,27.090000,28.059999,26.491558,1090200
2016-03-03,28.000000,28.690001,27.980000,28.650000,27.048580,895200
2016-03-04,28.860001,29.530001,28.670000,29.010000,27.388458,1313500
2016-03-07,28.959999,29.670000,28.959999,29.650000,27.992685,1685200
2016-03-08,29.490000,29.490000,28.309999,28.309999,26.727585,1245400
2016-03-09,28.680000,29.139999,28.309999,28.840000,27.227961,1660700
2016-03-10,28.780001,28.920000,28.370001,28.900000,27.284607,1715000
2016-03-11,29.309999,29.780001,29.309999,29.660000,28.002121,1555000
2016-03-14,29.280001,29.559999,29.160000,29.410000,27.766098,1265800
2016-03-15,29.030001,29.330000,28.790001,29.330000,27.690571,1088700
2016-03-16,29.500000,30.160000,29.350000,30.100000,28.417532,1384200
2016-03-17,30.340000,30.840000,30.150000,30.590000,28.880142,895900
2016-03-18,30.900000,30.900000,30.299999,30.510000,28.804615,1485700
2016-03-21,30.320000,30.670000,30.129999,30.440001,28.738527,1398300
2016-03-22,30.200001,30.610001,30.200001,30.360001,28.663000,670500
2016-03-23,29.910000,29.990000,29.270000,29.290001,27.784592,792300
2016-03-24,28.840000,29.450001,28.709999,29.440001,27.926882,982600
