Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,27.230000,27.440001,27.100000,27.100000,26.761559,1334500
2016-01-04,26.639999,26.750000,26.070000,26.290001,25.961672,5917100
2016-01-05,26.340000,26.570000,26.129999,26.360001,26.030796,3519700
2016-01-06,25.889999,26.230000,25.549999,25.750000,25.428415,6751100
2016-01-07,25.290001,25.469999,24.620001,24.680000,24.371778,7675500
2016-01-08,24.860001,24.860001,24.120001,24.129999,23.828646,6532400
2016-01-11,24.190001,24.459999,23.980000,24.270000,23.966898,5673800
2016-01-12,24.459999,24.770000,24.040001,24.540001,24.233528,4703600
2016-01-13,24.740000,24.980000,23.719999,23.809999,23.512644,11774700
2016-01-14,23.870001,24.080000,23.350000,23.670000,23.374393,4305600
2016-01-15,23.010000,23.660000,22.790001,23.469999,23.176889,4944000
2016-01-19,23.670000,23.809999,22.980000,23.240000,22.949764,5329900
2016-01-20,22.809999,23.250000,22.110001,22.980000,22.693008,10048300
2016-01-21,23.030001,23.700001,22.940001,23.260000,22.969511,4088400
2016-01-22,23.610001,24.340000,23.450001,23.920000,23.621271,6654500
2016-01-25,23.850000,23.850000,23.180000,23.260000,22.969511,3686900
2016-01-26,23.420000,24.040001,23.129999,23.959999,23.660770,5531400
2016-01-27,23.920000,24.070000,23.480000,23.610001,23.315144,4315200
2016-01-28,23.870001,24.160000,23.540001,23.639999,23.344765,6248700
2016-01-29,23.820000,24.379999,23.820000,24.330000,24.026150,4760700
2016-02-01,24.160000,24.350000,24.030001,24.120001,23.818773,3974800
2016-02-02,23.870001,24.010000,23.430000,23.510000,23.216391,5472800
2016-02-03,23.629999,23.760000,22.879999,23.459999,23.167011,4731000
2016-02-04,23.420000,24.030001,23.420000,23.670000,23.374393,2082200
2016-02-05,23.610001,23.760000,22.930000,22.990000,22.702883,3572100
2016-02-08,22.660000,22.750000,21.879999,22.209999,21.932627,4923600
2016-02-09,21.959999,22.490000,21.850000,22.309999,22.031376,6194500
2016-02-10,22.410000,22.860001,22.280001,22.540001,22.258505,3257000
2016-02-11,22.139999,22.350000,21.610001,21.860001,21.586998,5797700
2016-02-12,22.049999,22.629999,22.049999,22.580000,22.298000,3738900
2016-02-16,22.910000,23.170000,22.639999,23.139999,22.851009,2514100
2016-02-17,23.270000,23.520000,23.129999,23.340000,23.048515,3071600
2016-02-18,23.350000,23.410000,22.969999,23.200001,22.910263,2654100
2016-02-19,23.110001,23.350000,22.990000,23.240000,22.949764,2482900
2016-02-22,23.410000,23.740000,23.410000,23.709999,23.413891,1540000
