Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,23.340000,23.410000,23.260000,23.309999,22.251713,13400
2015-12-31,23.410000,23.410000,23.070000,23.180000,22.127615,37100
2016-01-04,22.629999,22.840000,22.520000,22.740000,21.707592,6900
2016-01-05,23.000000,23.000000,22.610001,22.719999,21.688501,31100
2016-01-06,22.490000,22.490000,22.059999,22.070000,21.068012,1600
2016-01-07,21.790001,21.930000,21.520000,21.520000,20.542982,3100
2016-01-08,21.559999,21.570000,21.559999,21.570000,20.590712,1600
2016-01-11,21.980000,21.980000,21.180000,21.360001,20.390244,11200
2016-01-12,21.490000,21.490000,21.350000,21.430000,20.457069,900
2016-01-13,21.450001,21.480000,20.959999,20.959999,20.008406,17900
2016-01-14,21.459999,21.469999,21.459999,21.469999,20.495253,600
2016-01-15,20.830000,20.870001,20.530001,20.870001,19.922493,1600
2016-01-19,21.070000,21.120001,20.830000,20.840000,19.893854,3800
2016-01-20,20.370001,20.650000,20.020000,20.650000,19.712481,7600
2016-01-21,20.750000,20.930000,20.660000,20.700001,19.760208,3800
2016-01-22,21.469999,21.469999,21.040001,21.090000,20.132505,11800
2016-01-25,20.780001,20.820000,20.780001,20.780001,19.836578,1600
2016-01-26,20.750000,20.969999,20.750000,20.900000,19.951130,3300
2016-01-27,20.879999,21.100000,20.830000,20.830000,19.884310,4300
2016-01-28,21.070000,21.260000,21.059999,21.160000,20.199324,3600
2016-01-29,21.730000,21.730000,21.629999,21.639999,20.657530,1200
2016-02-01,21.469999,21.690001,21.469999,21.650000,20.667080,8900
2016-02-02,21.360001,21.360001,20.780001,20.780001,19.836578,800
2016-02-03,20.959999,20.959999,20.850000,20.850000,19.903402,400
2016-02-04,21.420000,21.990000,21.420000,21.820000,20.829361,20800
2016-02-05,21.900000,21.900000,21.629999,21.709999,20.724354,2000
2016-02-08,21.110001,21.110001,21.040001,21.040001,20.084774,500
2016-02-09,21.000000,21.170000,21.000000,21.160000,20.199324,2200
2016-02-10,21.240000,21.240000,21.129999,21.129999,20.170687,8900
2016-02-11,20.780001,20.820000,20.570000,20.820000,19.874760,6600
2016-02-12,20.860001,20.889999,20.670000,20.850000,19.903402,1100
2016-02-16,21.020000,21.209999,21.010000,21.170000,20.208868,63100
2016-02-17,21.629999,21.680000,21.629999,21.680000,20.695715,500
2016-02-18,21.820000,21.820000,21.820000,21.820000,20.829361,500
2016-02-19,21.700001,21.700001,21.370001,21.370001,20.399794,2400
2016-02-22,21.790001,21.799999,21.709999,21.709999,20.724354,1100
2016-02-23,21.570000,21.570000,21.309999,21.309999,20.342512,500
2016-02-24,21.190001,21.559999,20.900000,21.549999,20.571621,3600
2016-02-25,21.549999,21.660000,21.549999,21.650000,20.667080,2100
2016-02-26,21.830000,21.950001,21.830000,21.850000,20.858000,600
2016-02-29,22.030001,22.030001,21.879999,21.879999,20.886637,3200
2016-03-01,22.280001,22.280001,22.280001,22.280001,21.268476,600
2016-03-02,22.160000,22.400000,22.160000,22.379999,21.363935,2000
2016-03-03,22.570000,22.870001,22.570000,22.870001,21.831688,2900
2016-03-04,22.889999,23.190001,22.879999,23.000000,21.955790,5600
2016-03-07,22.870001,23.290001,22.870001,23.290001,22.232624,1100
2016-03-08,22.910000,22.959999,22.860001,22.930000,21.888964,2300
2016-03-09,23.139999,23.160000,23.020000,23.160000,22.108522,400
2016-03-10,23.120001,23.120001,22.740000,22.740000,21.707592,700
2016-03-11,23.330000,23.459999,23.330000,23.340000,22.280352,1400
2016-03-14,23.219999,23.430000,23.209999,23.430000,22.366268,2400
2016-03-15,23.230000,23.230000,23.020000,23.020000,21.974880,5500
2016-03-16,23.150000,23.370001,23.120001,23.370001,22.308990,1400
2016-03-17,23.650000,23.799999,23.650000,23.790001,22.709923,800
2016-03-18,23.920000,23.920000,23.709999,23.709999,22.633553,600
2016-03-21,23.559999,23.690001,23.540001,23.600000,22.528547,3300
2016-03-22,23.440001,23.570000,23.440001,23.570000,22.499908,900
2016-03-23,23.129999,23.230000,22.950001,22.980000,21.936697,800
2016-03-24,22.900000,22.900000,22.620001,22.840000,21.803057,2200
2016-03-28,23.049999,23.049999,22.740000,22.840000,21.803057,2000
2016-03-29,22.740000,23.120001,22.670000,23.120001,22.070341,2100
2016-03-30,23.350000,23.360001,23.110001,23.240000,22.184891,2700
2016-03-31,23.190001,23.200001,23.190001,23.200001,22.146704,1000
2016-04-01,22.719999,22.910000,22.520000,22.910000,21.869873,1600
2016-04-04,23.059999,23.059999,22.820000,22.820000,21.783962,800
2016-04-05,22.500000,22.500000,22.410000,22.430000,21.411669,700
2016-04-06,22.250000,22.389999,22.250000,22.379999,21.363935,1100
2016-04-07,22.240000,22.360001,22.120001,22.120001,21.115744,1000
2016-04-08,22.459999,22.459999,22.320000,22.320000,21.306658,700
2016-04-11,22.600000,22.670000,22.600000,22.670000,21.640770,200
2016-04-12,22.570000,22.790001,22.570000,22.790001,21.755323,9300
2016-04-13,22.990000,22.990000,22.990000,22.990000,21.946243,500
2016-04-14,22.709999,22.709999,22.639999,22.639999,21.612129,700
2016-04-15,22.660000,22.790001,22.600000,22.719999,21.688501,4200
2016-04-18,22.889999,23.010000,22.889999,23.000000,21.955790,4100
2016-04-19,23.459999,23.600000,23.459999,23.600000,22.528547,1400
2016-04-20,23.650000,23.969999,23.650000,23.799999,22.719467,1600
2016-04-21,23.750000,24.129999,23.750000,23.830000,22.748104,800
2016-04-22,23.790001,24.040001,23.660000,23.910000,22.824476,1800
2016-04-25,23.809999,23.809999,23.809999,23.809999,22.729013,2900
2016-04-26,23.959999,23.959999,23.730000,23.730000,22.652647,1900
2016-04-27,23.719999,24.209999,23.719999,23.900000,22.814926,1300
2016-04-28,24.080000,24.160000,24.080000,24.160000,23.063122,1500
2016-04-29,24.000000,24.000000,23.750000,23.910000,22.824476,1500
2016-05-02,23.930000,23.959999,23.740000,23.809999,22.729013,2100
2016-05-03,23.770000,23.770000,23.770000,23.770000,22.690832,200
2016-05-04,23.250000,23.250000,23.059999,23.059999,22.013065,2700
2016-05-05,23.240000,23.240000,22.959999,22.959999,21.917603,3600
2016-05-06,22.850000,22.910000,22.760000,22.809999,21.774414,4700
2016-05-09,22.559999,22.600000,22.510000,22.540001,21.516672,11800
2016-05-10,22.809999,22.990000,22.809999,22.990000,21.946243,1100
2016-05-11,22.889999,22.889999,22.770000,22.770000,21.736231,700
2016-05-12,22.950001,23.059999,22.950001,23.020000,21.974880,1400
2016-05-13,22.770000,22.790001,22.580000,22.580000,21.554853,1400
2016-05-16,22.799999,22.809999,22.639999,22.639999,21.612129,1900
2016-05-17,22.900000,22.900000,22.830000,22.830000,21.793507,900
2016-05-18,22.750000,22.750000,22.500000,22.500000,21.478489,1400
2016-05-19,22.740000,22.740000,22.740000,22.740000,21.707592,700
2016-05-20,22.830000,22.860001,22.830000,22.860001,21.822144,2600
2016-05-23,22.850000,22.950001,22.850000,22.950001,21.908062,400
2016-05-24,23.330000,23.330000,23.240000,23.280001,22.223076,2800
2016-05-25,23.469999,23.770000,23.469999,23.700001,22.624010,21100
2016-05-26,23.860001,23.860001,23.660000,23.740000,22.662191,1300
2016-05-27,23.530001,23.730000,23.530001,23.660000,22.585825,5500
2016-05-31,23.629999,23.629999,23.469999,23.469999,22.404451,800
2016-06-01,23.400000,23.559999,23.340000,23.440001,22.375814,1300
2016-06-02,23.400000,23.830000,23.400000,23.680000,22.604916,7800
2016-06-03,23.730000,24.040001,23.730000,23.990000,22.900841,6100
2016-06-06,24.180000,24.450001,24.150000,24.379999,23.273134,1900
2016-06-07,24.480000,24.750000,24.480000,24.730000,23.607243,1200
2016-06-08,24.520000,24.670000,24.430000,24.670000,23.549967,2900
2016-06-09,24.360001,24.370001,24.090000,24.370001,23.263592,5200
2016-06-10,24.370001,24.370001,24.370001,24.370001,23.263592,0
2016-06-13,23.870001,23.940001,23.600000,23.600000,22.528547,1300
2016-06-14,23.450001,23.520000,23.270000,23.299999,22.242167,2700
2016-06-15,23.600000,23.600000,23.480000,23.480000,22.413992,2300
2016-06-16,23.190001,23.299999,23.000000,23.299999,22.242167,4100
2016-06-17,23.180000,23.360001,23.170000,23.360001,22.472086,1600
2016-06-20,23.910000,23.910000,23.709999,23.780001,22.876122,3300
2016-06-21,23.340000,23.420000,23.340000,23.420000,22.529802,300
2016-06-22,23.480000,23.590000,23.450001,23.480000,22.587519,1600
2016-06-23,23.480000,23.480000,23.480000,23.480000,22.587519,0
2016-06-24,22.980000,23.059999,22.930000,22.930000,22.058426,700
2016-06-27,22.549999,22.549999,21.860001,21.900000,21.067579,2300
2016-06-28,22.240000,22.450001,22.190001,22.270000,21.423513,5700
2016-06-29,22.510000,22.780001,22.510000,22.780001,21.914131,400
2016-06-30,22.820000,23.030001,22.820000,23.030001,22.154627,1600
2016-07-01,23.240000,23.240000,22.990000,22.990000,22.116148,600
2016-07-05,23.379999,23.379999,22.629999,22.690001,21.827549,6800
