Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,49.220001,49.220001,48.740002,48.830002,48.830002,1600
2016-01-04,48.689999,48.689999,47.389999,47.830002,47.830002,3400
2016-01-05,48.020000,48.020000,47.650002,47.660000,47.660000,1200
2016-01-06,46.900002,46.900002,46.580002,46.590000,46.590000,2300
2016-01-07,45.889999,45.889999,45.220001,45.279999,45.279999,30600
2016-01-08,45.500000,45.500000,44.759998,44.759998,44.759998,2300
2016-01-11,44.540001,44.540001,44.209999,44.470001,44.470001,1100
2016-01-12,44.720001,44.790001,44.099998,44.500000,44.500000,2400
2016-01-13,44.860001,44.860001,43.639999,43.639999,43.639999,700
2016-01-14,43.730000,44.619999,43.570000,44.450001,44.450001,3200
2016-01-15,43.270000,43.490002,42.959999,43.450001,43.450001,52000
2016-01-19,43.930000,43.930000,42.650002,42.650002,42.650002,4300
2016-01-20,41.869999,43.070000,41.459999,42.770000,42.770000,4900
2016-01-21,42.820000,43.200001,42.730000,42.990002,42.990002,4100
2016-01-22,43.980000,43.980000,43.520000,43.730000,43.730000,2900
2016-01-25,43.470001,43.470001,42.480000,42.480000,42.480000,3300
2016-01-26,42.840000,43.240002,42.840000,43.169998,43.169998,3200
2016-01-27,43.230000,43.380001,42.590000,42.590000,42.590000,900
2016-01-28,43.279999,43.279999,42.680000,42.900002,42.900002,3600
2016-01-29,43.209999,44.200001,43.209999,44.200001,44.200001,1800
2016-02-01,43.919998,44.040001,43.770000,44.040001,44.040001,2200
2016-02-02,43.299999,43.480000,43.220001,43.290001,43.290001,3200
2016-02-03,42.889999,44.060001,42.799999,44.060001,44.060001,3500
2016-02-04,44.389999,45.099998,44.389999,44.740002,44.740002,1400
2016-02-05,44.889999,44.889999,44.060001,44.060001,44.060001,1500
2016-02-08,43.270000,43.290001,42.439999,43.000000,43.000000,2600
2016-02-09,42.919998,43.630001,42.919998,43.389999,43.389999,3000
2016-02-10,43.330002,43.639999,42.950001,42.950001,42.950001,2800
2016-02-11,42.200001,42.200001,41.680000,42.049999,42.049999,4000
2016-02-12,42.290001,43.040001,42.169998,43.040001,43.040001,4400
2016-02-16,42.720001,43.740002,42.720001,43.740002,43.740002,5500
2016-02-17,44.349998,44.689999,44.349998,44.509998,44.509998,1700
2016-02-18,44.049999,44.220001,44.049999,44.169998,44.169998,1900
2016-02-19,44.049999,44.049999,43.720001,43.939999,43.939999,3700
2016-02-22,44.610001,44.700001,44.549999,44.549999,44.549999,11700
2016-02-23,44.220001,44.220001,43.439999,43.570000,43.570000,2800
2016-02-24,42.750000,43.939999,42.750000,43.939999,43.939999,1100
2016-02-25,43.910000,44.290001,43.900002,44.290001,44.290001,2200
2016-02-26,45.250000,45.250000,45.009998,45.009998,45.009998,1000
2016-02-29,45.349998,45.349998,45.270000,45.270000,45.270000,300
2016-03-01,44.970001,45.910000,44.970001,45.889999,45.889999,1400
2016-03-02,45.930000,46.169998,45.799999,46.169998,46.169998,1200
2016-03-03,46.590000,46.779999,46.369999,46.779999,46.779999,1100
2016-03-04,47.029999,47.520000,46.639999,47.230000,47.230000,10700
2016-03-07,47.410000,47.430000,47.279999,47.410000,47.410000,1000
2016-03-08,47.110001,47.110001,46.369999,46.540001,46.540001,12400
2016-03-09,46.720001,46.930000,46.720001,46.869999,46.869999,900
2016-03-10,47.470001,47.470001,46.970001,47.330002,47.330002,1100
2016-03-11,48.169998,48.169998,48.169998,48.169998,48.169998,400
2016-03-14,47.910000,47.980000,47.910000,47.980000,47.980000,400
2016-03-15,47.369999,47.660000,47.369999,47.570000,47.570000,2000
2016-03-16,47.689999,47.990002,47.660000,47.980000,47.980000,5000
2016-03-17,49.450001,49.470001,49.450001,49.450001,49.450001,1600
2016-03-18,49.799999,49.930000,49.430000,49.450001,49.450001,1600
2016-03-21,49.450001,49.639999,49.330002,49.639999,49.639999,1500
2016-03-22,49.290001,49.900002,49.290001,49.730000,49.730000,7500
2016-03-23,49.349998,49.349998,49.119999,49.169998,49.169998,2600
2016-03-24,48.900002,48.900002,48.900002,48.900002,48.900002,200
2016-03-28,49.430000,49.450001,49.230000,49.380001,49.380001,7300
2016-03-29,49.240002,50.080002,49.240002,50.080002,50.080002,900
2016-03-30,50.290001,50.549999,50.290001,50.310001,50.310001,1200
2016-03-31,50.220001,50.220001,50.070000,50.070000,50.070000,600
2016-04-01,49.610001,50.340000,49.610001,50.340000,50.340000,1900
2016-04-04,50.570000,50.680000,50.020000,50.020000,50.020000,1044500
2016-04-05,49.910000,50.209999,49.740002,49.880001,49.880001,322500
2016-04-06,50.070000,50.389999,49.500000,50.360001,50.360001,386400
2016-04-07,50.279999,50.290001,49.490002,49.619999,49.619999,52900
2016-04-08,50.029999,50.610001,50.009998,50.150002,50.150002,41200
2016-04-11,50.590000,51.139999,50.590000,50.860001,50.860001,47100
2016-04-12,51.119999,51.639999,50.750000,51.590000,51.590000,20100
2016-04-13,51.869999,52.480000,51.869999,52.450001,52.450001,47500
2016-04-14,52.490002,52.509998,52.040001,52.230000,52.230000,47200
2016-04-15,52.180000,52.730000,51.980000,52.619999,52.619999,46000
2016-04-18,52.830002,53.070000,52.259998,53.000000,53.000000,74300
2016-04-19,53.529999,54.410000,53.529999,54.389999,54.389999,17900
2016-04-20,54.369999,54.590000,53.950001,54.160000,54.160000,59000
2016-04-21,54.340000,54.590000,53.840000,53.980000,53.980000,25900
2016-04-22,53.950001,54.490002,53.869999,53.900002,53.900002,15700
2016-04-25,53.770000,53.770000,53.040001,53.270000,53.270000,17800
2016-04-26,53.470001,54.119999,53.110001,54.119999,54.119999,23200
2016-04-27,54.169998,54.759998,54.009998,54.630001,54.630001,21200
2016-04-28,54.599998,55.259998,54.230000,54.320000,54.320000,14100
2016-04-29,54.490002,54.580002,53.990002,54.450001,54.450001,24100
2016-05-02,55.400002,55.400002,54.049999,54.700001,54.700001,48200
2016-05-03,54.580002,54.580002,53.060001,53.290001,53.290001,35600
2016-05-04,53.020000,53.470001,52.669998,52.900002,52.900002,31400
2016-05-05,53.290001,53.330002,52.599998,52.779999,52.779999,8300
2016-05-06,52.939999,53.439999,52.669998,53.270000,53.270000,9900
2016-05-09,53.200001,53.200001,51.500000,51.599998,51.599998,8900
2016-05-10,51.740002,52.700001,51.740002,52.700001,52.700001,9300
2016-05-11,52.990002,53.209999,52.750000,52.750000,52.750000,9000
2016-05-12,53.549999,53.570000,52.509998,52.700001,52.700001,10800
2016-05-13,52.580002,52.840000,52.209999,52.290001,52.290001,36300
2016-05-16,52.590000,53.290001,52.590000,53.060001,53.060001,9300
2016-05-17,52.669998,53.389999,52.509998,52.689999,52.689999,24600
2016-05-18,52.400002,52.599998,51.320000,51.320000,51.320000,28200
2016-05-19,51.099998,51.630001,50.840000,51.630001,51.630001,25600
2016-05-20,51.919998,51.919998,51.660000,51.790001,51.790001,20800
2016-05-23,51.900002,52.450001,51.680000,52.270000,52.270000,13100
2016-05-24,52.509998,52.509998,52.299999,52.360001,52.360001,8400
2016-05-25,52.490002,53.310001,52.490002,53.209999,53.209999,12400
2016-05-26,53.689999,53.689999,52.820000,53.080002,53.080002,17300
2016-05-27,52.930000,53.160000,52.840000,52.950001,52.950001,4900
2016-05-31,53.119999,53.490002,52.919998,53.099998,53.099998,13000
2016-06-01,52.580002,53.160000,52.400002,53.130001,53.130001,24400
2016-06-02,52.830002,53.360001,52.830002,53.360001,53.360001,16600
2016-06-03,53.680000,54.070000,53.650002,54.060001,54.060001,7800
2016-06-06,54.259998,54.740002,54.259998,54.740002,54.740002,11000
2016-06-07,54.730000,55.110001,54.630001,54.860001,54.860001,18900
2016-06-08,55.330002,55.970001,55.330002,55.799999,55.799999,13000
2016-06-09,55.439999,55.439999,54.980000,55.160000,55.160000,24900
2016-06-10,54.939999,55.020000,54.619999,54.770000,54.770000,41300
2016-06-13,54.669998,54.680000,54.180000,54.180000,54.180000,7900
2016-06-14,53.810001,54.049999,53.220001,53.619999,53.619999,7100
2016-06-15,54.060001,54.639999,54.060001,54.299999,54.299999,9300
2016-06-16,54.090000,54.160000,53.520000,54.160000,54.160000,15800
2016-06-17,54.080002,54.700001,54.060001,54.240002,54.240002,17900
2016-06-20,55.000000,55.330002,54.900002,54.900002,54.900002,7800
2016-06-21,54.869999,54.869999,54.250000,54.540001,54.540001,7700
2016-06-22,54.419998,54.490002,54.230000,54.400002,54.400002,4200
2016-06-23,54.779999,55.340000,54.779999,55.279999,55.279999,20700
2016-06-24,53.860001,53.990002,52.599998,52.709999,52.709999,12700
2016-06-27,52.389999,52.389999,50.639999,50.860001,50.860001,18600
2016-06-28,51.450001,51.520000,51.070000,51.520000,51.520000,12400
2016-06-29,52.049999,52.669998,52.049999,52.599998,52.599998,7300
2016-06-30,52.610001,53.810001,52.610001,53.810001,53.810001,7700
2016-07-01,54.470001,54.980000,54.400002,54.869999,54.869999,12400
2016-07-05,54.459999,54.459999,53.439999,53.730000,53.730000,24900
2016-07-06,53.540001,54.549999,53.540001,54.549999,54.549999,11100
2016-07-07,54.619999,55.230000,54.240002,54.610001,54.610001,17400
2016-07-08,55.110001,56.400002,55.110001,56.330002,56.330002,16300
2016-07-11,56.560001,57.270000,56.560001,57.180000,57.180000,84800
2016-07-12,57.770000,58.799999,57.770000,58.380001,58.380001,23000
2016-07-13,58.799999,58.820000,58.060001,58.689999,58.689999,14700
2016-07-14,58.889999,59.299999,58.889999,59.169998,59.169998,18700
2016-07-15,59.240002,59.570000,59.150002,59.410000,59.410000,23800
2016-07-18,59.299999,59.700001,58.930000,59.700001,59.700001,10500
2016-07-19,59.380001,59.540001,58.630001,58.840000,58.840000,8300
2016-07-20,58.180000,58.840000,57.590000,58.470001,58.470001,18400
2016-07-21,58.639999,59.009998,58.270000,58.580002,58.580002,6200
2016-07-22,58.259998,58.610001,57.889999,58.570000,58.570000,9400
2016-07-25,58.299999,58.299999,57.709999,57.919998,57.919998,12400
2016-07-26,58.080002,59.380001,58.080002,59.290001,59.290001,29600
2016-07-27,59.880001,60.450001,59.139999,59.939999,59.939999,14000
2016-07-28,60.080002,60.480000,59.910000,60.340000,60.340000,14800
2016-07-29,59.939999,60.740002,59.790001,60.430000,60.430000,23400
2016-08-01,60.330002,60.330002,59.709999,60.139999,60.139999,10500
