Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,34.250000,34.529999,34.150002,34.180000,33.236561,1249100
2016-01-04,33.730000,33.919998,33.169998,33.529999,32.604500,4915800
2016-01-05,33.520000,33.810001,33.310001,33.450001,32.526711,4200000
2016-01-06,32.810001,33.209999,32.380001,32.630001,31.729345,4190400
2016-01-07,31.820000,32.380001,31.490000,31.610001,30.737497,6072600
2016-01-08,31.700001,31.889999,30.990000,31.059999,30.202677,5583100
2016-01-11,31.250000,31.360001,30.629999,30.940001,30.085987,4209700
2016-01-12,31.299999,31.650000,30.760000,31.219999,30.358257,3445400
2016-01-13,31.340000,31.600000,30.030001,30.150000,29.317795,7751000
2016-01-14,30.260000,30.389999,29.590000,30.070000,29.240004,5099800
2016-01-15,29.320000,29.959999,29.129999,29.730000,28.909384,6835000
2016-01-19,30.270000,30.270000,29.070000,29.400000,28.588497,4173300
2016-01-20,28.910000,29.379999,28.000000,29.080000,28.277330,8465200
2016-01-21,29.190001,30.000000,29.090000,29.480000,28.666288,7516800
2016-01-22,29.889999,30.750000,29.820000,30.250000,29.415033,7947100
2016-01-25,30.120001,30.150000,29.490000,29.549999,28.734358,3810500
2016-01-26,29.600000,30.270000,29.420000,30.160000,29.327522,6735100
2016-01-27,30.080000,30.290001,29.590000,29.770000,28.948284,4700500
2016-01-28,30.100000,30.270000,29.549999,29.650000,28.831598,5332600
2016-01-29,29.830000,30.570000,29.830000,30.520000,29.677584,2722800
2016-02-01,30.320000,30.570000,30.100000,30.370001,29.531725,3858700
2016-02-02,29.959999,30.139999,29.540001,29.650000,28.831598,4234600
2016-02-03,29.730000,29.920000,28.900000,29.590000,28.773254,3461500
2016-02-04,29.480000,30.139999,29.459999,29.799999,28.977457,3432200
2016-02-05,29.760000,30.020000,29.030001,29.120001,28.316225,2867400
2016-02-08,28.719999,28.799999,27.840000,28.260000,27.479961,5252000
2016-02-09,27.910000,28.780001,27.840000,28.510000,27.723064,6220900
2016-02-10,28.690001,29.139999,28.559999,28.719999,27.927267,5297100
2016-02-11,28.190001,28.549999,27.719999,27.980000,27.207693,4036200
2016-02-12,28.230000,28.770000,28.190001,28.719999,27.927267,3965000
2016-02-16,28.969999,29.559999,28.850000,29.530001,28.714909,2765100
2016-02-17,29.700001,30.129999,29.570000,30.000000,29.171934,3356000
2016-02-18,29.980000,30.059999,29.559999,29.889999,29.064972,2202500
2016-02-19,29.660000,29.990000,29.570000,29.920000,29.094145,1312700
2016-02-22,30.170000,30.480000,30.160000,30.469999,29.628963,3292300
2016-02-23,30.389999,30.680000,30.240000,30.559999,29.716476,2898500
2016-02-24,30.270000,30.930000,29.990000,30.850000,29.998472,4205500
2016-02-25,30.500000,30.930000,30.440001,30.930000,30.076267,4846300
2016-02-26,31.160000,31.360001,30.980000,31.230000,30.367983,6175200
2016-02-29,31.250000,31.440001,30.860001,30.870001,30.017923,2405800
2016-03-01,31.100000,31.700001,30.969999,31.660000,30.786116,3071500
2016-03-02,31.590000,31.790001,31.450001,31.760000,30.883354,2811300
2016-03-03,31.780001,32.180000,31.760000,32.130001,31.243145,2291100
2016-03-04,32.189999,32.360001,31.950001,32.180000,31.291763,2330600
2016-03-07,31.990000,32.369999,31.959999,32.220001,31.330662,2133500
