Date,Open,High,Low,Close,Volume
10/24/2013,25.5,25.5,25.16,25.291,15148
10/25/2013,25.31,25.4099,25.2799,25.405,6259
10/28/2013,25.46,25.52,25.38,25.52,28142
10/29/2013,25.76,25.81,25.571,25.77,13368
10/30/2013,26.01,26.01,25.5699,25.68,9994
10/31/2013,26.69,26.69,25.3499,25.55,107316
11/01/2013,25.88,25.88,25.271,25.381,12662
11/04/2013,25.77,25.77,25.461,25.64,5953
11/05/2013,26.12,26.12,25.48,25.48,10047
11/06/2013,25.83,25.83,25.54,25.55,7841
11/07/2013,25.68,25.68,25.01,25.035,13169
11/08/2013,25.39,25.39,24.88,25.0799,6745
11/11/2013,25.46,25.46,25.07,25.07,26336
11/12/2013,25.18,25.18,25.03,25.07,5755
11/13/2013,25.15,25.15,24.93,25.1,11380
11/14/2013,25.31,25.31,25.01,25.01,9252
11/15/2013,25.0,25.12,25.0,25.08,9416
11/18/2013,25.21,25.29,25.17,25.2,19474
11/19/2013,25.34,25.34,25.06,25.09,7449
11/20/2013,25.22,25.31,24.93,24.93,11960
11/21/2013,24.94,25.14,24.94,25.08,11751
11/22/2013,25.23,25.23,24.94,25.04,9354
11/25/2013,24.93,25.089,24.93,24.94,4473
11/26/2013,25.12,25.18,24.97,25.09,6945
11/27/2013,25.04,25.14,25.03,25.14,4614
11/29/2013,25.23,25.23,25.13,25.13,3674
12/02/2013,25.18,25.18,24.85,24.8599,10377
12/03/2013,25.27,25.27,24.701,24.791,13955
12/04/2013,24.88,24.93,24.73,24.83,9480
12/05/2013,24.91,24.91,24.691,24.74,4788
12/06/2013,24.69,24.92,24.69,24.92,6345
12/09/2013,25.01,25.01,24.791,24.8701,8088
12/10/2013,24.87,24.87,24.61,24.63,14721
12/11/2013,24.56,24.56,24.33,24.33,7023
12/12/2013,24.34,24.351,24.171,24.311,6796
12/13/2013,24.331,24.4299,24.2199,24.42,5730
12/16/2013,24.63,24.72,24.5099,24.5401,9335
12/17/2013,24.54,24.55,24.47,24.5099,7883
12/18/2013,24.55,24.765,24.46,24.765,6817
12/19/2013,24.89,24.991,24.771,24.9399,10577
12/20/2013,24.98,25.09,24.98,25.08,15422
12/23/2013,25.08,25.35,25.08,25.35,8670
12/24/2013,25.48,25.54,25.3499,25.52,5746
12/26/2013,25.6,25.63,25.57,25.61,5033
12/27/2013,25.73,25.74,25.595,25.72,9222
12/30/2013,25.89,25.89,25.69,25.69,6303
12/31/2013,25.82,25.82,25.69,25.73,16647
01/02/2014,25.83,25.83,25.38,25.48,24503
01/03/2014,25.61,25.61,25.32,25.4,8085
01/06/2014,25.57,25.57,25.31,25.5,28121
01/07/2014,25.8,25.8,25.571,25.631,3791
01/08/2014,25.88,25.88,25.6,25.6,7721
01/09/2014,25.9,25.9,25.211,25.22,7869
01/10/2014,25.44,25.44,25.211,25.3,4036
01/13/2014,25.3,25.32,25.051,25.06,13374
01/14/2014,25.28,25.28,25.06,25.2599,19113
01/15/2014,25.421,25.6,25.421,25.531,6029
01/16/2014,25.42,25.639,25.42,25.59,8849
01/17/2014,25.56,25.571,25.5,25.519,13096
