Date,Open,High,Low,Close,Volume
10/24/2013,25.61,25.61,25.13,25.261,6900
10/25/2013,25.33,25.33,25.101,25.251,6227
10/28/2013,25.34,25.34,25.125,25.19,21857
10/29/2013,25.43,25.43,25.08,25.23,14976
10/30/2013,25.46,25.46,24.96,25.06,27059
10/31/2013,25.7,29.21,25.001,25.07,23767
11/01/2013,25.36,25.36,24.881,25.03,34571
11/04/2013,25.26,25.26,25.05,25.1899,14982
11/05/2013,25.18,25.18,24.9199,25.01,11476
11/06/2013,25.33,25.33,25.08,25.11,10509
11/07/2013,25.19,25.19,24.75,24.771,15455
11/08/2013,24.9,25.2001,24.781,25.2001,6656
11/11/2013,25.19,25.24,25.17,25.21,10161
11/12/2013,25.21,25.21,25.1,25.13,6199
11/13/2013,25.26,25.26,25.04,25.19,10442
11/14/2013,25.59,25.59,25.3,25.48,13601
11/15/2013,25.78,25.78,25.51,25.6,16337
11/18/2013,25.68,25.68,25.37,25.43,31889
11/19/2013,25.31,25.52,25.31,25.37,13982
11/20/2013,25.35,25.4,25.15,25.169,66404
11/21/2013,25.4,25.42,25.251,25.415,48443
11/22/2013,25.65,25.65,25.36,25.54,28375
11/25/2013,25.4,25.54,25.341,25.371,9056
11/26/2013,25.52,25.52,25.27,25.38,11940
11/27/2013,25.49,25.49,25.385,25.41,19578
11/29/2013,25.6,25.6,25.41,25.41,12853
12/02/2013,25.57,25.57,25.38,25.38,17410
12/03/2013,25.41,25.41,24.99,25.071,28064
12/04/2013,25.2,25.2199,25.031,25.201,4064
12/05/2013,25.2,25.2,25.01,25.05,7617
12/06/2013,25.31,25.47,25.291,25.385,15587
12/09/2013,25.5,25.5299,25.421,25.52,12062
12/10/2013,25.52,25.67,25.52,25.551,18148
12/11/2013,25.62,25.62,25.1,25.11,15643
12/12/2013,25.19,25.19,25.011,25.0899,8063
12/13/2013,25.25,25.26,25.19,25.26,7288
12/16/2013,25.44,25.44,25.31,25.36,47221
12/17/2013,25.46,25.47,25.275,25.43,16067
12/18/2013,25.51,25.74,25.35,25.74,10818
12/19/2013,25.8,25.8,25.6201,25.7998,14063
12/20/2013,25.76,25.84,25.69,25.77,16169
12/23/2013,26.07,26.07,25.8199,25.87,42743
12/24/2013,26.04,26.15,25.94,26.15,22337
12/26/2013,26.24,26.31,26.2,26.29,33053
12/27/2013,26.37,26.39,26.31,26.38,21909
12/30/2013,26.6,26.6,26.369,26.39,38849
12/31/2013,26.54,26.54,26.37,26.45,30186
01/02/2014,26.44,26.44,26.18,26.269,344096
01/03/2014,26.28,26.3,26.22,26.23,53943
01/06/2014,26.35,26.35,26.01,26.09,22025
01/07/2014,26.52,26.52,25.99,26.055,38154
01/08/2014,26.32,26.32,26.0,26.17,13888
01/09/2014,26.251,26.251,26.0,26.091,11549
01/10/2014,26.33,26.33,26.0401,26.171,15769
01/13/2014,26.07,26.1701,25.82,25.852,24262
01/14/2014,25.97,26.21,25.9199,26.2,19088
01/15/2014,26.27,26.3999,26.26,26.351,25456
01/16/2014,26.3,26.4,26.3,26.3899,8515
01/17/2014,26.45,26.45,26.3299,26.3388,14634
01/21/2014,26.49,26.6,26.341,26.41,19126
01/22/2014,26.56,26.56,26.201,26.25,13356
01/23/2014,26.24,26.24,25.76,25.905,74161
01/24/2014,25.84,25.84,25.18,25.21,32579
01/27/2014,25.21,25.27,24.9,25.0601,28492
01/28/2014,25.07,25.23,25.07,25.19,12494
01/29/2014,25.26,25.5,25.2301,25.3199,10487
01/30/2014,25.35,25.4799,25.28,25.411,74521
01/31/2014,25.05,25.461,25.05,25.3,9896
02/03/2014,25.19,25.32,24.65,24.68,95522
02/04/2014,24.76,24.975,24.69,24.85,6736
02/05/2014,24.94,24.94,24.5491,24.9,25341
02/06/2014,25.0093,25.259,25.0093,25.24,17592
02/07/2014,25.45,25.6,25.34,25.59,14497
02/10/2014,25.65,25.721,25.58,25.7099,61558
02/11/2014,25.68,26.0699,25.68,26.0699,19341
02/12/2014,26.16,26.16,26.001,26.001,12237
02/13/2014,25.72,26.3399,25.72,26.29,7728
02/14/2014,26.36,26.49,26.29,26.49,17028
02/18/2014,26.69,26.69,26.44,26.5201,44599
02/19/2014,26.56,26.69,26.33,26.33,19921
02/20/2014,26.33,26.54,26.279,26.54,8199
02/21/2014,26.615,26.659,26.57,26.57,6690
02/24/2014,26.68,26.68,26.43,26.44,10025
02/25/2014,26.31,26.58,26.31,26.511,6606
02/26/2014,26.5,26.8099,26.5,26.69,57401
02/27/2014,26.74,26.91,26.7,26.91,10928
02/28/2014,26.96,27.0999,26.94,27.009,37939
03/03/2014,26.65,26.9999,26.65,26.901,25855
03/04/2014,27.12,27.365,27.12,27.35,32212
03/05/2014,27.53,27.53,27.25,27.381,28704
03/06/2014,27.54,27.65,27.52,27.55,7008
