"Global X Gold Explorers ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
03/20/2019,22.42,0.56,2.56,0.21,0.94
03/19/2019,21.86,0.05,0.23,-0.12,-0.56
03/18/2019,21.81,-0.02,-0.09,-0.03,-0.14
03/15/2019,21.83,-0.22,-1.00,-0.17,-0.79
03/14/2019,22.05,-0.27,-1.21,-0.07,-0.34
03/13/2019,22.32,0.11,0.50,-0.13,-0.56
03/12/2019,22.21,0.37,1.69,-0.11,-0.48
03/11/2019,21.84,0.03,0.14,-0.13,-0.59
03/08/2019,21.81,0.63,2.97,-0.06,-0.26
03/07/2019,21.18,-0.01,-0.05,-0.14,-0.66
03/06/2019,21.19,-0.06,-0.28,0.07,0.35
03/05/2019,21.25,-0.08,-0.38,-0.11,-0.50
03/04/2019,21.33,-0.12,-0.56,-0.04,-0.18
03/01/2019,21.45,-0.48,-2.19,-0.22,-1.02
02/28/2019,21.93,-0.32,-1.44,-0.08,-0.35
02/27/2019,22.25,-0.27,-1.20,0.07,0.31
02/26/2019,22.52,0.01,0.04,-0.07,-0.30
02/25/2019,22.51,-0.51,-2.22,-0.03,-0.14
02/22/2019,23.02,0.37,1.63,0.13,0.57
02/21/2019,22.65,-0.20,-0.88,-0.20,-0.85
02/20/2019,22.85,0.07,0.31,-0.11,-0.46
02/19/2019,22.78,0.83,3.78,0.15,0.67
02/15/2019,21.95,0.37,1.71,0.00,-0.01
02/14/2019,21.58,0.05,0.23,-0.10,-0.48
02/13/2019,21.53,0.11,0.51,-0.17,-0.78
02/12/2019,21.42,-0.09,-0.42,-0.09,-0.43
02/11/2019,21.51,-0.05,-0.23,-0.08,-0.37
02/08/2019,21.56,0.21,0.98,-0.15,-0.68
02/07/2019,21.35,-0.52,-2.38,-0.12,-0.54
02/06/2019,21.87,-0.06,-0.27,-0.11,-0.49
02/05/2019,21.93,-0.08,-0.36,-0.20,-0.89
02/04/2019,22.01,-0.02,-0.09,-0.03,-0.13
02/01/2019,22.03,-0.15,-0.68,-0.13,-0.58
01/31/2019,22.18,0.33,1.51,-0.07,-0.33
01/30/2019,21.85,0.51,2.39,0.15,0.70
01/29/2019,21.34,0.44,2.11,-0.08,-0.39
01/28/2019,20.9,0.35,1.70,-0.06,-0.27
01/25/2019,20.55,0.70,3.53,-0.12,-0.59
01/24/2019,19.85,0.10,0.51,-0.14,-0.69
01/23/2019,19.75,-0.06,-0.30,-0.19,-0.96
01/22/2019,19.81,0.18,0.92,0.01,0.03
01/18/2019,19.63,-0.51,-2.53,-0.16,-0.81
01/17/2019,20.14,0.03,0.15,-0.02,-0.10
01/16/2019,20.11,0.17,0.85,-0.14,-0.69
01/15/2019,19.94,-0.38,-1.87,-0.34,-1.70
01/14/2019,20.32,-0.03,-0.15,-0.18,-0.86
01/11/2019,20.35,-0.21,-1.02,-0.09,-0.44
01/10/2019,20.56,-0.21,-1.01,-0.13,-0.64
01/09/2019,20.77,0.32,1.56,-0.08,-0.40
01/08/2019,20.45,-0.15,-0.73,-0.20,-0.96
01/07/2019,20.6,-0.07,-0.34,-0.08,-0.37
01/04/2019,20.67,-0.09,-0.43,-0.24,-1.16
01/03/2019,20.76,0.76,3.80,-0.10,-0.48
01/02/2019,20,0.15,0.76,-0.16,-0.80
12/31/2018,19.85,0.26,1.33,-0.13,-0.66
12/28/2018,19.59,0.08,0.41,-0.11,-0.56
12/27/2018,19.51,-0.10,-0.51,-0.16,-0.84
12/26/2018,19.61,0.11,0.56,0.00,0.02
12/24/2018,19.5,0.47,2.47,-0.10,-0.53
12/21/2018,19.03,-0.14,-0.73,-0.23,-1.18
12/20/2018,19.17,0.39,2.08,-0.04,-0.22
12/19/2018,18.78,-0.55,-2.85,-0.17,-0.88
12/18/2018,19.33,0.45,2.38,0.06,0.29
12/17/2018,18.88,0.63,3.45,-0.07,-0.37
12/14/2018,18.25,-0.35,-1.88,-0.15,-0.82
12/13/2018,18.6,0.07,0.38,-0.09,-0.46
12/12/2018,18.53,0.01,0.05,-0.21,-1.14
12/11/2018,18.52,-0.03,-0.16,0.02,0.12
12/10/2018,18.55,0.00,0.00,-0.01,-0.03
12/07/2018,18.55,0.71,3.98,-0.05,-0.27
12/06/2018,17.84,-0.35,-1.92,-0.22,-1.22
12/05/2018,18.19,0.00,0.00,0.00,0.00
12/04/2018,18.19,0.14,0.78,0.02,0.11
12/03/2018,18.05,0.26,1.46,-0.13,-0.72
11/30/2018,17.79,-0.09,-0.50,-0.14,-0.76
11/29/2018,17.88,0.09,0.51,-0.03,-0.19
11/28/2018,17.79,0.12,0.68,-0.12,-0.68
11/27/2018,17.67,-0.40,-2.21,-0.09,-0.49
11/26/2018,18.07,-0.48,-2.59,-0.02,-0.11
11/23/2018,18.55,-0.08,-0.43,0.20,1.08
11/21/2018,18.63,0.28,1.53,-0.11,-0.61
11/20/2018,18.35,-0.12,-0.65,-0.23,-1.23
11/19/2018,18.47,0.17,0.93,-0.20,-1.05
11/16/2018,18.3,0.32,1.78,-0.24,-1.30
11/15/2018,17.98,0.09,0.50,-0.23,-1.26
11/14/2018,17.89,0.22,1.25,-0.12,-0.68
11/13/2018,17.67,-0.22,-1.23,-0.04,-0.22
11/12/2018,17.89,-0.26,-1.43,-0.13,-0.72
11/09/2018,18.15,-0.32,-1.73,-0.21,-1.15
11/08/2018,18.47,-0.01,-0.05,-0.07,-0.36
11/07/2018,18.48,-0.44,-2.33,-0.23,-1.23
11/06/2018,18.92,-0.28,-1.46,0.10,0.53
11/05/2018,19.2,0.67,3.62,0.32,1.69
11/02/2018,18.53,-0.43,-2.27,-0.38,-2.02
11/01/2018,18.96,0.55,2.99,0.06,0.29
10/31/2018,18.41,-0.28,-1.50,-0.09,-0.47
10/30/2018,18.69,-0.14,-0.74,-0.13,-0.68
10/29/2018,18.83,-0.33,-1.72,-0.11,-0.56
10/26/2018,19.16,-0.14,-0.73,0.05,0.28
10/25/2018,19.3,-0.25,-1.28,0.15,0.80
10/24/2018,19.55,-0.29,-1.46,-0.17,-0.85
10/23/2018,19.84,0.12,0.61,-0.01,-0.03
10/22/2018,19.72,-0.13,-0.65,-0.14,-0.73
10/19/2018,19.85,0.07,0.35,-0.14,-0.72
10/18/2018,19.78,-0.12,-0.60,-0.05,-0.24
10/17/2018,19.9,-0.05,-0.25,-0.02,-0.11
10/16/2018,19.95,0.01,0.05,-0.15,-0.74
10/15/2018,19.94,0.27,1.37,0.01,0.03
10/12/2018,19.67,0.09,0.46,-0.13,-0.64
10/11/2018,19.58,1.00,5.38,0.02,0.09
10/10/2018,18.58,0.02,0.11,-0.09,-0.47
