"Global X Lithium and Battery Tech ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
03/20/2019,28.29,-0.27,-0.95,-0.07,-0.24
03/19/2019,28.56,-0.10,-0.35,-0.03,-0.12
03/18/2019,28.66,0.03,0.10,-0.05,-0.17
03/15/2019,28.63,0.15,0.53,-0.02,-0.06
03/14/2019,28.48,-0.20,-0.70,-0.05,-0.17
03/13/2019,28.68,0.16,0.56,-0.01,-0.05
03/12/2019,28.52,-0.15,-0.52,-0.09,-0.31
03/11/2019,28.67,0.41,1.45,0.06,0.19
03/08/2019,28.26,-0.25,-0.88,-0.04,-0.15
03/07/2019,28.51,-0.62,-2.13,-0.09,-0.31
03/06/2019,29.13,-0.18,-0.61,0.04,0.12
03/05/2019,29.31,-0.07,-0.24,0.04,0.14
03/04/2019,29.38,-0.35,-1.18,-0.11,-0.38
03/01/2019,29.73,-0.19,-0.64,0.01,0.04
02/28/2019,29.92,-0.41,-1.35,-0.03,-0.10
02/27/2019,30.33,0.12,0.40,-0.02,-0.07
02/26/2019,30.21,-0.19,-0.62,0.08,0.25
02/25/2019,30.4,0.59,1.98,0.09,0.29
02/22/2019,29.81,0.17,0.57,0.06,0.20
02/21/2019,29.64,0.47,1.61,-0.03,-0.09
02/20/2019,29.17,0.22,0.76,-0.06,-0.19
02/19/2019,28.95,0.28,0.98,0.00,0.00
02/15/2019,28.67,0.29,1.02,0.11,0.38
02/14/2019,28.38,0.01,0.04,-0.10,-0.35
02/13/2019,28.37,0.11,0.39,-0.10,-0.36
02/12/2019,28.26,-0.02,-0.07,0.00,-0.00
02/11/2019,28.28,-0.05,-0.18,-0.07,-0.26
02/08/2019,28.33,-0.23,-0.81,-0.08,-0.28
02/07/2019,28.56,-0.53,-1.82,-0.14,-0.50
02/06/2019,29.09,0.00,0.00,-0.03,-0.09
02/05/2019,29.09,0.12,0.41,0.05,0.17
02/04/2019,28.97,0.10,0.35,-0.05,-0.16
02/01/2019,28.87,0.44,1.55,-0.07,-0.25
01/31/2019,28.43,0.01,0.04,-0.03,-0.12
01/30/2019,28.42,0.30,1.07,0.03,0.10
01/29/2019,28.12,0.07,0.25,-0.10,-0.34
01/28/2019,28.05,-0.15,-0.53,-0.16,-0.56
01/25/2019,28.2,0.51,1.84,-0.03,-0.10
01/24/2019,27.69,0.00,0.00,-0.09,-0.31
01/23/2019,27.69,-0.11,-0.40,-0.09,-0.31
01/22/2019,27.8,-0.50,-1.77,-0.19,-0.69
01/18/2019,28.3,0.08,0.28,0.00,0.02
01/17/2019,28.22,0.04,0.14,0.00,-0.01
01/16/2019,28.18,0.17,0.61,-0.07,-0.24
01/15/2019,28.01,-0.10,-0.36,-0.18,-0.64
01/14/2019,28.11,-0.18,-0.64,-0.13,-0.46
01/11/2019,28.29,-0.11,-0.39,-0.13,-0.45
01/10/2019,28.4,0.12,0.42,-0.01,-0.03
01/09/2019,28.28,0.22,0.78,-0.01,-0.05
01/08/2019,28.06,0.35,1.26,-0.02,-0.08
01/07/2019,27.71,0.48,1.76,-0.04,-0.14
01/04/2019,27.23,0.97,3.69,0.10,0.37
01/03/2019,26.26,-0.80,-2.96,-0.21,-0.80
01/02/2019,27.06,0.08,0.30,-0.06,-0.21
12/31/2018,26.98,0.07,0.26,-0.19,-0.71
12/28/2018,26.91,-0.53,-1.93,-0.12,-0.45
12/27/2018,27.44,-0.04,-0.15,-0.13,-0.48
12/26/2018,27.48,1.07,4.05,0.13,0.46
12/24/2018,26.41,-0.48,-1.79,-0.31,-1.16
12/21/2018,26.89,-0.32,-1.18,-0.23,-0.85
12/20/2018,27.21,-0.93,-3.30,-0.10,-0.38
12/19/2018,28.14,-0.48,-1.68,-0.32,-1.13
12/18/2018,28.62,-0.13,-0.45,-0.11,-0.39
12/17/2018,28.75,-0.82,-2.77,-0.27,-0.93
12/14/2018,29.57,-0.56,-1.86,-0.13,-0.44
12/13/2018,30.13,-0.03,-0.10,-0.17,-0.57
12/12/2018,30.16,0.36,1.21,-0.06,-0.21
12/11/2018,29.8,-0.10,-0.33,-0.03,-0.11
12/10/2018,29.9,-0.14,-0.47,-0.09,-0.29
12/07/2018,30.04,-0.78,-2.53,-0.30,-0.98
12/06/2018,30.82,-0.37,-1.19,0.00,0.01
12/05/2018,31.19,0.00,0.00,0.00,0.00
12/04/2018,31.19,-1.03,-3.20,-0.33,-1.04
12/03/2018,32.22,0.83,2.64,-0.10,-0.32
11/30/2018,31.39,0.04,0.13,-0.07,-0.22
11/29/2018,31.35,-0.11,-0.35,-0.10,-0.33
11/28/2018,31.46,0.76,2.48,0.14,0.46
11/27/2018,30.7,-0.02,-0.07,-0.05,-0.17
11/26/2018,30.72,0.41,1.35,0.02,0.05
