"Global X Fertilizers/Potash ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
03/20/2019,9.38,-0.13,-1.37,0.04,0.41
03/19/2019,9.51,0.03,0.32,0.01,0.08
03/18/2019,9.48,-0.04,-0.42,-0.03,-0.31
03/15/2019,9.52,0.10,1.06,-0.01,-0.06
03/14/2019,9.42,0.02,0.21,0.00,0.02
03/13/2019,9.4,0.06,0.64,0.01,0.07
03/12/2019,9.34,0.10,1.08,0.03,0.33
03/11/2019,9.24,0.05,0.54,0.01,0.15
03/08/2019,9.19,-0.06,-0.65,-0.03,-0.31
03/07/2019,9.25,-0.22,-2.32,-0.06,-0.65
03/06/2019,9.47,-0.04,-0.42,0.00,0.01
03/05/2019,9.51,0.00,0.00,0.02,0.19
03/04/2019,9.51,0.07,0.74,-0.04,-0.44
03/01/2019,9.44,0.00,0.00,-0.05,-0.48
02/28/2019,9.44,-0.16,-1.67,-0.07,-0.77
02/27/2019,9.6,-0.05,-0.52,-0.04,-0.44
02/26/2019,9.65,0.01,0.10,0.01,0.10
02/25/2019,9.64,0.04,0.42,-0.02,-0.19
02/22/2019,9.6,0.02,0.21,-0.01,-0.05
02/21/2019,9.58,-0.01,-0.10,-0.04,-0.44
02/20/2019,9.59,0.12,1.27,0.01,0.08
02/19/2019,9.47,0.09,0.96,-0.01,-0.15
02/15/2019,9.38,0.05,0.54,0.00,-0.04
02/14/2019,9.33,0.02,0.21,-0.01,-0.12
02/13/2019,9.31,0.05,0.54,-0.04,-0.47
02/12/2019,9.26,0.06,0.65,-0.03,-0.34
02/11/2019,9.2,-0.05,-0.54,-0.01,-0.15
02/08/2019,9.25,-0.05,-0.54,0.00,-0.03
02/07/2019,9.3,-0.18,-1.90,-0.05,-0.54
02/06/2019,9.48,-0.03,-0.32,-0.01,-0.08
02/05/2019,9.51,0.03,0.32,0.00,-0.03
02/04/2019,9.48,0.11,1.17,0.02,0.21
02/01/2019,9.37,-0.07,-0.74,-0.06,-0.62
01/31/2019,9.44,-0.01,-0.11,-0.03,-0.28
01/30/2019,9.45,0.08,0.85,0.02,0.23
01/29/2019,9.37,-0.03,-0.32,-0.03,-0.32
01/28/2019,9.4,-0.01,-0.11,-0.01,-0.12
01/25/2019,9.41,0.15,1.62,0.00,0.03
01/24/2019,9.26,-0.02,-0.22,-0.02,-0.17
01/23/2019,9.28,0.00,0.00,-0.01,-0.06
01/22/2019,9.28,-0.21,-2.21,-0.04,-0.39
01/18/2019,9.49,0.09,0.96,0.01,0.11
01/17/2019,9.4,0.10,1.08,0.03,0.30
01/16/2019,9.3,0.00,0.00,-0.02,-0.25
01/15/2019,9.3,-0.04,-0.43,-0.03,-0.34
01/14/2019,9.34,-0.03,-0.32,0.00,0.04
01/11/2019,9.37,-0.08,-0.85,-0.01,-0.13
01/10/2019,9.45,0.08,0.85,0.00,0.04
01/09/2019,9.37,0.09,0.97,0.02,0.23
01/08/2019,9.28,0.09,0.98,-0.01,-0.06
01/07/2019,9.19,0.11,1.21,0.01,0.09
01/04/2019,9.08,0.36,4.13,0.06,0.62
01/03/2019,8.72,-0.14,-1.58,-0.02,-0.19
01/02/2019,8.86,0.00,0.00,0.02,0.23
12/31/2018,8.86,0.03,0.34,-0.03,-0.30
12/28/2018,8.83,-0.17,-1.89,0.02,0.21
12/27/2018,9,0.12,1.35,0.07,0.83
12/26/2018,8.88,0.24,2.78,0.03,0.33
12/24/2018,8.64,-0.11,-1.26,-0.07,-0.81
12/21/2018,8.75,-0.08,-0.91,-0.08,-0.92
12/20/2018,8.83,-0.13,-1.45,-0.01,-0.11
12/19/2018,8.96,-0.11,-1.21,-0.09,-0.98
12/18/2018,9.07,-0.01,-0.11,-0.03,-0.30
12/17/2018,9.08,-0.12,-1.30,-0.06,-0.68
12/14/2018,9.2,-0.10,-1.08,-0.04,-0.42
12/13/2018,9.3,-0.02,-0.21,-0.02,-0.17
12/12/2018,9.32,-0.03,-0.32,-0.01,-0.16
12/11/2018,9.35,0.01,0.11,0.02,0.20
12/10/2018,9.34,-0.13,-1.37,0.01,0.13
12/07/2018,9.47,-0.19,-1.97,-0.04,-0.47
12/06/2018,9.66,-0.01,-0.10,0.05,0.52
12/05/2018,9.67,0.00,0.00,0.00,0.00
12/04/2018,9.67,-0.23,-2.32,-0.12,-1.18
12/03/2018,9.9,0.21,2.17,-0.05,-0.52
11/30/2018,9.69,-0.07,-0.72,-0.01,-0.06
