"Global X Uranium ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
03/20/2019,12.69,0.05,0.40,-0.06,-0.50
03/19/2019,12.64,0.06,0.48,-0.10,-0.82
03/18/2019,12.58,0.00,0.00,-0.06,-0.47
03/15/2019,12.58,0.15,1.21,-0.08,-0.61
03/14/2019,12.43,0.08,0.65,-0.09,-0.71
03/13/2019,12.35,0.10,0.82,-0.07,-0.52
03/12/2019,12.25,0.02,0.16,-0.09,-0.72
03/11/2019,12.23,0.16,1.33,-0.02,-0.19
03/08/2019,12.07,-0.01,-0.08,-0.07,-0.56
03/07/2019,12.08,-0.11,-0.90,-0.15,-1.21
03/06/2019,12.19,-0.01,-0.08,-0.10,-0.79
03/05/2019,12.2,0.03,0.25,-0.08,-0.68
03/04/2019,12.17,-0.13,-1.06,-0.09,-0.75
03/01/2019,12.3,-0.07,-0.57,-0.12,-0.97
02/28/2019,12.37,-0.22,-1.75,-0.11,-0.85
02/27/2019,12.59,0.00,0.00,-0.10,-0.75
02/26/2019,12.59,-0.13,-1.02,-0.11,-0.89
02/25/2019,12.72,-0.04,-0.31,-0.06,-0.48
02/22/2019,12.76,0.03,0.24,-0.08,-0.59
02/21/2019,12.73,-0.07,-0.55,-0.08,-0.65
02/20/2019,12.8,0.10,0.79,-0.03,-0.21
02/19/2019,12.7,-0.07,-0.55,-0.03,-0.26
02/15/2019,12.77,0.16,1.27,0.02,0.16
02/14/2019,12.61,0.00,0.00,-0.11,-0.87
02/13/2019,12.61,-0.10,-0.79,-0.15,-1.17
02/12/2019,12.71,-0.08,-0.63,-0.03,-0.25
02/11/2019,12.79,0.01,0.08,0.00,-0.01
02/08/2019,12.78,-0.12,-0.93,-0.02,-0.18
02/07/2019,12.9,-0.11,-0.85,-0.07,-0.55
02/06/2019,13.01,-0.22,-1.66,-0.04,-0.30
02/05/2019,13.23,0.32,2.48,0.04,0.29
02/04/2019,12.91,0.30,2.38,-0.04,-0.31
02/01/2019,12.61,-0.07,-0.55,-0.12,-0.98
01/31/2019,12.68,0.08,0.63,-0.11,-0.87
01/30/2019,12.6,-0.11,-0.87,-0.02,-0.19
01/29/2019,12.71,0.15,1.19,-0.06,-0.45
01/28/2019,12.56,-0.09,-0.71,-0.10,-0.81
01/25/2019,12.65,0.36,2.93,-0.06,-0.44
01/24/2019,12.29,0.09,0.74,-0.11,-0.87
01/23/2019,12.2,0.04,0.33,-0.06,-0.45
01/22/2019,12.16,-0.23,-1.86,-0.09,-0.71
01/18/2019,12.39,0.11,0.90,-0.07,-0.57
01/17/2019,12.28,-0.13,-1.05,-0.07,-0.58
01/16/2019,12.41,0.09,0.73,-0.07,-0.58
01/15/2019,12.32,0.03,0.24,-0.16,-1.28
01/14/2019,12.29,0.03,0.24,-0.09,-0.70
01/11/2019,12.26,-0.18,-1.45,-0.13,-1.05
01/10/2019,12.44,0.05,0.40,-0.06,-0.48
01/09/2019,12.39,0.23,1.89,-0.08,-0.65
01/08/2019,12.16,0.04,0.33,-0.06,-0.46
01/07/2019,12.12,0.16,1.34,-0.06,-0.46
01/04/2019,11.96,0.37,3.19,0.01,0.12
01/03/2019,11.59,-0.06,-0.52,-0.12,-0.99
01/02/2019,11.65,-0.03,-0.26,-0.09,-0.76
12/31/2018,11.68,0.10,0.86,-0.14,-1.16
12/28/2018,11.58,0.08,0.70,-0.11,-0.91
12/27/2018,11.5,-0.04,-0.35,-0.12,-1.06
12/26/2018,11.54,0.23,2.03,0.19,1.68
12/24/2018,11.31,-0.11,-0.96,-0.19,-1.63
12/21/2018,11.42,-0.23,-1.97,-0.22,-1.91
12/20/2018,11.65,-0.03,-0.26,-0.12,-1.02
12/19/2018,11.68,-0.32,-2.67,-0.22,-1.84
12/18/2018,12,0.02,0.17,-0.10,-0.84
12/17/2018,11.98,-0.38,-3.07,-0.19,-1.55
12/14/2018,12.36,-0.10,-0.80,-0.07,-0.58
12/13/2018,12.46,0.06,0.48,-0.10,-0.83
12/12/2018,12.4,0.25,2.06,-0.09,-0.76
12/11/2018,12.15,-0.07,-0.57,-0.03,-0.25
12/10/2018,12.22,-0.01,-0.08,-0.05,-0.39
12/07/2018,12.23,-0.12,-0.97,-0.15,-1.21
12/06/2018,12.35,-0.17,-1.36,-0.02,-0.19
12/05/2018,12.52,0.00,0.00,0.00,0.00
12/04/2018,12.52,-0.28,-2.19,-0.19,-1.52
12/03/2018,12.8,0.28,2.24,-0.07,-0.56
11/30/2018,12.52,-0.03,-0.24,-0.06,-0.51
11/29/2018,12.55,-0.12,-0.95,-0.06,-0.49
11/28/2018,12.67,0.46,3.77,0.05,0.43
11/27/2018,12.21,-0.06,-0.49,-0.07,-0.57
11/26/2018,12.27,0.12,0.99,-0.09,-0.74
11/23/2018,12.15,-0.39,-3.11,-0.19,-1.56
11/21/2018,12.54,0.18,1.46,-0.03,-0.25
11/20/2018,12.36,-0.32,-2.52,-0.23,-1.79
11/19/2018,12.68,0.02,0.16,-0.07,-0.57
11/16/2018,12.66,0.09,0.72,0.02,0.17
11/15/2018,12.57,0.37,3.03,-0.01,-0.07
11/14/2018,12.2,-0.25,-2.01,-0.06,-0.46
11/13/2018,12.45,0.01,0.08,0.01,0.06
11/12/2018,12.44,-0.20,-1.58,-0.11,-0.89
11/09/2018,12.64,-0.30,-2.32,-0.14,-1.06
11/08/2018,12.94,-0.26,-1.97,-0.06,-0.47
11/07/2018,13.2,0.22,1.69,0.11,0.83
11/06/2018,12.98,0.13,1.01,-0.04,-0.34
11/05/2018,12.85,0.42,3.38,-0.16,-1.22
11/02/2018,12.43,0.22,1.80,-0.10,-0.78
11/01/2018,12.21,0.21,1.75,-0.02,-0.15
