DATE,COUPON EQUIVALENT
05/15/14,0.03
05/16/14,0.03
05/19/14,0.03
05/20/14,0.03
05/21/14,0.04
05/22/14,0.03
05/23/14,0.04
05/27/14,0.04
05/28/14,0.04
05/29/14,0.04
05/30/14,0.04
2006/2/14,0.04
2006/3/14,0.04
2006/4/14,0.04
2006/5/14,0.04
2006/6/14,0.04
2006/9/14,0.04
2006/10/14,0.04
2006/11/14,0.04
2006/12/14,0.04
06/13/14,0.04
06/16/14,0.04
06/17/14,0.04
06/18/14,0.03
06/19/14,0.02
06/20/14,0.02
06/23/14,0.03
06/24/14,0.03
06/25/14,0.03
06/26/14,0.04
06/27/14,0.03
06/30/14,0.04
2007/1/14,0.02
2007/2/14,0.02
2007/3/14,0.01
2007/7/14,0.04
2007/8/14,0.03
2007/9/14,0.03
2007/10/14,0.02
2007/11/14,0.02
07/14/14,0.03
07/15/14,0.02
07/16/14,0.02
07/17/14,0.02
07/18/14,0.02
07/21/14,0.03
07/22/14,0.03
07/23/14,0.03
07/24/14,0.03
07/25/14,0.03
07/28/14,0.04
07/29/14,0.02
07/30/14,0.04
07/31/14,0.03
2008/1/14,0.03
2008/4/14,0.04
2008/5/14,0.03
2008/6/14,0.03
2008/7/14,0.03
2008/8/14,0.03
2008/11/14,0.04
2008/12/14,0.03
08/13/14,0.04
08/14/14,0.04
08/15/14,0.03
08/18/14,0.03
08/19/14,0.03
08/20/14,0.04
08/21/14,0.02
08/22/14,0.03
08/25/14,0.04
08/26/14,0.03
08/27/14,0.04
08/28/14,0.03
08/29/14,0.03
2009/2/14,0.03
2009/3/14,0.03
2009/4/14,0.03
2009/5/14,0.03
2009/8/14,0.02
2009/9/14,0.02
2009/10/14,0.02
2009/11/14,0.02
2009/12/14,0.02
09/15/14,0.02
09/16/14,0.02
09/17/14,0.02
09/18/14,0.02
09/19/14,0.02
09/22/14,0.01
09/23/14,0.01
09/24/14,0.02
09/25/14,0.01
09/26/14,0.01
09/29/14,0.02
09/30/14,0.02
2010/1/14,0.02
2010/2/14,0.01
2010/3/14,0.01
2010/6/14,0.02
2010/7/14,0.02
2010/8/14,0.01
2010/9/14,0.01
2010/10/14,0.01
10/14/14,0.02
10/15/14,0.02
10/16/14,0.03
10/17/14,0.02
10/20/14,0.02
10/21/14,0.02
10/22/14,0.02
10/23/14,0.01
10/24/14,0.01
10/27/14,0.02
10/28/14,0.02
10/29/14,0.03
10/30/14,0.01
10/31/14,0.01
2011/3/14,0.02
2011/4/14,0.03
2011/5/14,0.03
2011/6/14,0.03
2011/7/14,0.03
2011/10/14,0.02
2011/12/14,0.02
11/13/14,0.02
11/14/14,0.02
11/17/14,0.03
11/18/14,0.02
11/19/14,0.01
11/20/14,0.02
11/21/14,0.01
11/24/14,0.02
11/25/14,0.02
11/26/14,0.02
11/28/14,0.02
2012/1/14,0.03
2012/2/14,0.03
2012/3/14,0.01
2012/4/14,0.02
2012/5/14,0.02
