Date,Price,Open,High,Low,Change %
2019/5/16,2.402,2.404,2.422,2.402,-0.12%
2019/5/15,2.405,2.41,2.417,2.402,-0.11%
2019/5/14,2.407,2.41,2.415,2.407,-0.11%
2019/5/13,2.41,2.422,2.447,2.406,-0.59%
2019/5/12,2.424,2.424,2.424,2.424,-0.19%
2019/5/10,2.429,2.425,2.427,2.422,-0.21%
2019/5/9,2.434,2.428,2.428,2.422,0.00%
2019/5/8,2.434,2.425,2.438,2.422,0.08%
2019/5/7,2.432,2.43,2.433,2.425,0.25%
2019/5/6,2.426,2.422,2.422,2.417,-0.04%
2019/5/5,2.427,2.427,2.427,2.427,-0.16%
2019/5/3,2.431,2.432,2.432,2.422,-0.25%
2019/5/2,2.437,2.42,2.51,2.417,0.41%
2019/5/1,2.427,2.441,2.471,2.402,-0.21%
2019/4/30,2.432,2.438,2.441,2.425,0.37%
2019/4/29,2.423,2.419,2.422,2.417,0.00%
2019/4/26,2.423,2.422,2.422,2.414,-0.25%
2019/4/25,2.429,2.43,2.43,2.417,-0.21%
2019/4/24,2.434,2.438,2.474,2.422,-0.65%
2019/4/23,2.45,2.474,2.556,2.441,0.37%
2019/4/22,2.441,2.427,2.437,2.427,0.58%
2019/4/21,2.427,2.427,2.427,2.427,-0.08%
2019/4/18,2.429,2.437,2.44,2.422,-0.41%
2019/4/17,2.439,2.433,2.461,2.43,-0.12%
2019/4/16,2.442,2.433,2.435,2.428,0.78%
2019/4/15,2.423,2.427,2.432,2.411,-0.37%
2019/4/14,2.432,2.432,2.432,2.432,-0.36%
2019/4/12,2.441,2.422,2.435,2.419,0.49%
2019/4/11,2.429,2.42,2.438,2.417,0.08%
2019/4/10,2.427,2.43,2.435,2.417,-0.08%
2019/4/9,2.429,2.415,2.435,2.415,0.00%
2019/4/8,2.429,2.427,2.427,2.422,-0.03%
2019/4/7,2.43,2.43,2.43,2.43,-0.18%
2019/4/5,2.434,2.433,2.433,2.427,0.00%
2019/4/4,2.434,2.428,2.435,2.428,-0.12%
2019/4/3,2.437,2.428,2.433,2.428,0.12%
2019/4/2,2.434,2.413,2.436,2.413,1.76%
2019/4/1,2.392,2.417,2.417,2.383,-0.39%
2019/3/31,2.401,2.401,2.401,2.401,0.06%
2019/3/29,2.4,2.432,2.432,2.391,-1.52%
2019/3/28,2.437,2.44,2.44,2.428,-0.20%
2019/3/27,2.442,2.458,2.461,2.428,-1.13%
2019/3/26,2.47,2.459,2.464,2.459,0.65%
2019/3/25,2.454,2.453,2.46,2.447,0.05%
2019/3/24,2.453,2.453,2.453,2.453,-0.38%
2019/3/22,2.462,2.466,2.466,2.453,-0.44%
2019/3/21,2.473,2.492,2.492,2.461,0.00%
2019/3/20,2.473,2.466,2.474,2.456,0.12%
2019/3/19,2.47,2.466,2.466,2.456,0.98%
2019/3/18,2.446,2.442,2.447,2.44,0.15%
2019/3/17,2.442,2.442,2.442,2.442,-0.39%
2019/3/15,2.452,2.447,2.447,2.442,0.00%
2019/3/14,2.452,2.448,2.448,2.443,0.00%
2019/3/13,2.452,2.451,2.458,2.446,-0.33%
2019/3/12,2.46,2.433,2.454,2.433,0.65%
2019/3/11,2.444,2.453,2.453,2.437,-0.35%
2019/3/10,2.453,2.453,2.453,2.453,-0.05%
2019/3/8,2.454,2.453,2.471,2.447,-0.24%
2019/3/7,2.46,2.458,2.463,2.453,-0.20%
2019/3/6,2.465,2.456,2.461,2.453,0.00%
2019/3/5,2.465,2.464,2.466,2.456,1.36%
2019/3/4,2.432,2.44,2.442,2.432,-0.32%
2019/3/3,2.44,2.44,2.44,2.44,0.20%
2019/3/1,2.435,2.44,2.445,2.435,-0.20%
2019/2/28,2.44,2.445,2.448,2.438,-0.45%
2019/2/27,2.451,2.459,2.461,2.443,-0.28%
2019/2/26,2.458,2.443,2.464,2.443,0.33%
2019/2/25,2.45,2.45,2.455,2.445,0.00%
2019/2/24,2.45,2.45,2.45,2.45,0.00%
2019/2/22,2.45,2.45,2.453,2.445,0.08%
2019/2/21,2.448,2.456,2.461,2.433,0.08%
2019/2/20,2.446,2.428,2.456,2.428,0.70%
2019/2/19,2.429,2.429,2.442,2.422,0.00%
2019/2/18,2.429,2.429,2.429,2.429,0.10%
2019/2/15,2.427,2.442,2.442,2.424,-0.12%
2019/2/14,2.43,2.443,2.443,2.425,0.00%
2019/2/13,2.43,2.438,2.448,2.428,-0.21%
2019/2/12,2.435,2.454,2.454,2.435,0.12%
2019/2/11,2.432,2.427,2.44,2.419,0.42%
2019/2/10,2.422,2.422,2.422,2.422,0.00%
2019/2/8,2.422,2.424,2.424,2.409,0.41%
2019/2/7,2.412,2.425,2.425,2.404,-0.21%
2019/2/6,2.417,2.428,2.433,2.412,0.00%
2019/2/5,2.417,2.428,2.433,2.418,1.09%
2019/2/4,2.391,2.396,2.396,2.381,-0.22%
2019/2/3,2.396,2.396,2.396,2.396,0.00%
2019/2/1,2.396,2.401,2.404,2.396,-0.04%
2019/1/31,2.397,2.425,2.433,2.397,-0.83%
2019/1/30,2.417,2.422,2.43,2.417,-0.25%
2019/1/29,2.423,2.425,2.43,2.42,1.47%
2019/1/28,2.388,2.383,2.394,2.383,0.19%
2019/1/27,2.383,2.383,2.383,2.383,0.00%
2019/1/25,2.383,2.371,2.389,2.368,0.59%
2019/1/24,2.369,2.44,2.445,2.363,-1.70%
2019/1/23,2.41,2.441,2.446,2.405,0.37%
2019/1/22,2.401,2.406,2.411,2.398,-0.22%
2019/1/21,2.406,2.406,2.406,2.406,0.10%
2019/1/18,2.404,2.411,2.411,2.401,-0.25%
2019/1/17,2.41,2.42,2.435,2.404,-0.41%
2019/1/16,2.42,2.451,2.464,2.412,-1.26%
2019/1/15,2.451,2.451,2.456,2.448,1.41%
2019/1/14,2.417,2.427,2.427,2.414,-0.20%
2019/1/13,2.422,2.422,2.422,2.422,-0.09%
2019/1/11,2.424,2.43,2.432,2.422,-0.37%
2019/1/10,2.433,2.445,2.448,2.43,-0.41%
2019/1/9,2.443,2.459,2.474,2.441,-0.61%
2019/1/8,2.458,2.456,2.471,2.446,2.03%
2019/1/7,2.409,2.424,2.427,2.409,-0.64%
2019/1/6,2.424,2.424,2.424,2.424,0.43%
2019/1/4,2.414,2.437,2.437,2.409,0.08%
2019/1/3,2.412,2.422,2.471,2.407,-0.21%
2019/1/2,2.417,2.469,2.469,2.415,-2.00%
2019/1/1,2.466,2.466,2.466,2.466,3.58%
2018/12/31,2.381,2.388,2.48,2.373,-0.21%
2018/12/30,2.386,2.386,2.386,2.386,0.13%
2018/12/28,2.383,2.412,2.417,2.378,-1.12%
2018/12/27,2.41,2.446,2.453,2.407,-1.03%
2018/12/26,2.435,2.443,2.453,2.428,-0.34%
2018/12/25,2.443,2.443,2.443,2.443,2.31%
2018/12/24,2.388,2.391,2.398,2.386,0.08%
2018/12/23,2.386,2.386,2.386,2.386,0.00%
2018/12/21,2.386,2.386,2.407,2.373,-0.25%
2018/12/20,2.392,2.438,2.438,2.386,-0.08%
2018/12/19,2.394,2.384,2.407,2.382,0.42%
2018/12/18,2.384,2.4,2.43,2.382,-0.42%
2018/12/17,2.394,2.427,2.427,2.388,-0.94%
2018/12/16,2.417,2.417,2.417,2.417,-0.30%
2018/12/14,2.424,2.427,2.427,2.409,0.17%
2018/12/13,2.42,2.428,2.433,2.415,-0.33%
2018/12/12,2.428,2.438,2.446,2.428,0.00%
2018/12/11,2.428,2.438,2.438,2.425,1.76%
2018/12/10,2.386,2.396,2.396,2.376,-0.43%
2018/12/9,2.396,2.396,2.396,2.396,0.00%
2018/12/7,2.396,2.409,2.414,2.394,-0.58%
2018/12/6,2.41,2.417,2.42,2.407,-0.52%
2018/12/5,2.422,2.422,2.422,2.422,-0.02%
2018/12/4,2.423,2.397,2.428,2.389,3.46%
2018/12/3,2.342,2.358,2.371,2.34,-0.56%
2018/12/2,2.355,2.355,2.355,2.355,-0.33%
2018/11/30,2.363,2.371,2.373,2.353,-0.13%
2018/11/29,2.366,2.392,2.392,2.358,-0.88%
2018/11/28,2.387,2.405,2.407,2.382,-0.75%
2018/11/27,2.405,2.405,2.425,2.402,0.25%
2018/11/26,2.399,2.404,2.414,2.399,-0.31%
2018/11/25,2.407,2.407,2.407,2.407,0.10%
2018/11/23,2.404,2.404,2.407,2.404,0.09%
2018/11/22,2.402,2.402,2.402,2.402,-0.22%
2018/11/21,2.407,2.397,2.409,2.386,0.63%
2018/11/20,2.392,2.387,2.395,2.376,1.57%
2018/11/19,2.355,2.352,2.365,2.352,0.10%
2018/11/18,2.353,2.353,2.353,2.353,-0.10%
2018/11/16,2.355,2.376,2.378,2.348,-0.46%
2018/11/15,2.366,2.381,2.399,2.366,-0.42%
2018/11/14,2.376,2.382,2.402,2.374,1.11%
2018/11/13,2.35,2.35,2.355,2.345,-0.22%
2018/11/12,2.355,2.355,2.355,2.355,0.00%
2018/11/9,2.355,2.35,2.355,2.35,-0.13%
2018/11/8,2.358,2.366,2.366,2.353,-0.13%
2018/11/7,2.361,2.376,2.405,2.356,-0.21%
2018/11/6,2.366,2.361,2.405,2.351,1.89%
2018/11/5,2.322,2.332,2.332,2.319,-0.11%
2018/11/4,2.325,2.325,2.325,2.325,-0.11%
2018/11/2,2.327,2.319,2.355,2.319,0.09%
2018/11/1,2.325,2.33,2.333,2.322,-0.34%
2018/10/31,2.333,2.341,2.346,2.33,-0.21%
2018/10/30,2.338,2.33,2.351,2.33,1.04%
2018/10/29,2.314,2.329,2.337,2.312,-0.67%
2018/10/28,2.33,2.327,2.33,2.327,0.11%
2018/10/26,2.327,2.33,2.33,2.325,-0.34%
