DATE,COUPON EQUIVALENT
2014-05-16,5.769230769230769e-06
2014-05-23,7.692307692307692e-06
2014-05-30,7.692307692307692e-06
2014-06-06,7.692307692307692e-06
2014-06-13,7.692307692307692e-06
2014-06-20,3.846153846153846e-06
2014-06-27,5.769230769230769e-06
2014-07-04,7.692307692307692e-06
2014-07-11,7.692307692307692e-06
2014-07-18,3.846153846153846e-06
2014-07-25,5.769230769230769e-06
2014-08-01,5.769230769230769e-06
2014-08-08,5.769230769230769e-06
2014-08-15,5.769230769230769e-06
2014-08-22,5.769230769230769e-06
2014-08-29,5.769230769230769e-06
2014-09-05,5.769230769230769e-06
2014-09-12,5.769230769230769e-06
2014-09-19,3.846153846153846e-06
2014-09-26,1.923076923076923e-06
2014-10-03,3.846153846153846e-06
2014-10-10,3.846153846153846e-06
2014-10-17,3.846153846153846e-06
2014-10-24,1.923076923076923e-06
2014-10-31,1.923076923076923e-06
2014-11-07,1.923076923076923e-06
2014-11-14,3.846153846153846e-06
2014-11-21,1.923076923076923e-06
2014-11-28,3.846153846153846e-06
2014-12-05,3.846153846153846e-06
2014-12-12,3.846153846153846e-06
2014-12-19,7.692307692307692e-06
2014-12-26,1.923076923076923e-06
2015-01-02,7.692307692307692e-06
2015-01-09,7.692307692307692e-06
2015-01-16,5.769230769230769e-06
2015-01-23,3.846153846153846e-06
2015-01-30,3.846153846153846e-06
2015-02-06,3.846153846153846e-06
2015-02-13,1.923076923076923e-06
2015-02-20,3.846153846153846e-06
2015-02-27,3.846153846153846e-06
2015-03-06,3.846153846153846e-06
2015-03-13,5.769230769230769e-06
2015-03-20,1.923076923076923e-06
2015-03-27,7.692307692307692e-06
2015-04-03,5.769230769230769e-06
2015-04-10,5.769230769230769e-06
2015-04-17,1.923076923076923e-06
2015-04-24,5.769230769230769e-06
2015-05-01,1.923076923076923e-06
2015-05-08,1.923076923076923e-06
2015-05-15,3.846153846153846e-06
2015-05-22,3.846153846153846e-06
2015-05-29,1.923076923076923e-06
2015-06-05,1.923076923076923e-06
2015-06-12,1.923076923076923e-06
2015-06-19,1.923076923076923e-06
2015-06-26,1.923076923076923e-06
2015-07-03,1.923076923076923e-06
2015-07-10,1.923076923076923e-06
2015-07-17,5.769230769230769e-06
2015-07-24,7.692307692307692e-06
2015-07-31,1.5384615384615384e-05
2015-08-07,1.5384615384615384e-05
2015-08-14,1.7307692307692306e-05
2015-08-21,5.769230769230769e-06
2015-08-28,1.1538461538461538e-05
2015-09-04,1.5384615384615384e-05
2015-09-11,1.5384615384615384e-05
2015-09-18,-1.923076923076923e-06
2015-09-25,-1.923076923076923e-06
2015-10-02,-1.923076923076923e-06
2015-10-09,-1.923076923076923e-06
2015-10-16,1.923076923076923e-06
2015-10-23,1.923076923076923e-06
2015-10-30,1.5384615384615384e-05
2015-11-06,1.5384615384615384e-05
2015-11-13,2.4999999999999998e-05
2015-11-20,2.1153846153846154e-05
2015-11-27,3.269230769230769e-05
2015-12-04,4.230769230769231e-05
2015-12-11,4.230769230769231e-05
2015-12-18,3.653846153846154e-05
2015-12-25,3.846153846153846e-05
2016-01-01,3.076923076923077e-05
2016-01-08,3.076923076923077e-05
2016-01-15,4.423076923076923e-05
2016-01-22,5.9615384615384616e-05
2016-01-29,6.346153846153847e-05
2016-02-05,6.346153846153847e-05
2016-02-12,6.346153846153847e-05
2016-02-19,5.9615384615384616e-05
2016-02-26,6.346153846153847e-05
2016-03-04,6.346153846153847e-05
2016-03-11,6.346153846153847e-05
2016-03-18,5.5769230769230765e-05
2016-03-25,5.5769230769230765e-05
2016-04-01,4.038461538461538e-05
2016-04-08,4.038461538461538e-05
2016-04-15,4.230769230769231e-05
2016-04-22,4.423076923076923e-05
2016-04-29,4.230769230769231e-05
2016-05-06,4.230769230769231e-05
2016-05-13,5.3846153846153853e-05
2016-05-20,6.153846153846154e-05
2016-05-27,5.9615384615384616e-05
2016-06-03,6.73076923076923e-05
2016-06-10,6.73076923076923e-05
2016-06-17,4.9999999999999996e-05
2016-06-24,4.9999999999999996e-05
2016-07-01,4.9999999999999996e-05
2016-07-08,4.9999999999999996e-05
2016-07-15,5.9615384615384616e-05
2016-07-22,6.153846153846154e-05
2016-07-29,5.192307692307693e-05
2016-08-05,5.192307692307693e-05
2016-08-12,5.192307692307693e-05
2016-08-19,5.5769230769230765e-05
2016-08-26,6.346153846153847e-05
2016-09-02,6.346153846153847e-05
2016-09-09,6.346153846153847e-05
2016-09-16,5.5769230769230765e-05
2016-09-23,3.461538461538461e-05
2016-09-30,5.3846153846153853e-05
2016-10-07,5.3846153846153853e-05
2016-10-14,5.9615384615384616e-05
2016-10-21,6.346153846153847e-05
2016-10-28,5.5769230769230765e-05
2016-11-04,6.73076923076923e-05
2016-11-11,6.73076923076923e-05
2016-11-18,8.461538461538461e-05
2016-11-25,9.423076923076922e-05
2016-12-02,9.423076923076922e-05
2016-12-09,9.423076923076922e-05
2016-12-16,9.807692307692309e-05
2016-12-23,9.999999999999999e-05
2016-12-30,9.807692307692309e-05
2017-01-06,9.807692307692309e-05
2017-01-13,0.00010192307692307692
2017-01-20,9.615384615384615e-05
2017-01-27,9.999999999999999e-05
2017-02-03,0.00010192307692307692
2017-02-10,0.00010192307692307692
2017-02-17,0.00010192307692307692
2017-02-24,9.999999999999999e-05
2017-03-03,0.00010384615384615386
2017-03-10,0.00010384615384615386
2017-03-17,0.00014038461538461538
2017-03-24,0.00015000000000000001
2017-03-31,0.00014615384615384615
2017-04-07,0.00014615384615384615
2017-04-14,0.00015576923076923078
2017-04-21,0.00015192307692307695
2017-04-28,0.00015384615384615385
2017-05-05,0.00015384615384615385
2017-05-12,0.00015384615384615385
2017-05-19,0.000175
2017-05-26,0.00017884615384615386
2017-06-02,0.00018846153846153844
2017-06-09,0.00018846153846153844
2017-06-16,0.00019807692307692308
2017-06-23,0.00018653846153846154
2017-06-30,0.00019807692307692308
2017-07-07,0.00019807692307692308
2017-07-14,0.00019999999999999998
2017-07-21,0.00022307692307692306
2017-07-28,0.0002076923076923077
2017-08-04,0.00020576923076923078
2017-08-11,0.00020576923076923078
2017-08-18,0.00019615384615384617
2017-08-25,0.00019807692307692308
2017-09-01,0.0001942307692307692
2017-09-08,0.0001942307692307692
2017-09-15,0.00020192307692307694
2017-09-22,0.00019807692307692308
2017-09-29,0.00020384615384615385
2017-10-06,0.00020384615384615385
2017-10-13,0.00020961538461538462
2017-10-20,0.00021346153846153848
2017-10-27,0.00021153846153846155
2017-11-03,0.00022115384615384616
2017-11-10,0.00022115384615384616
2017-11-17,0.00024615384615384614
2017-11-24,0.00024615384615384614
2017-12-01,0.0002442307692307692
2017-12-08,0.0002442307692307692
2017-12-15,0.00025192307692307694
2017-12-22,0.0002557692307692308
2017-12-29,0.0002673076923076923
2018-01-05,0.0002673076923076923
2018-01-12,0.0002673076923076923
2018-01-19,0.0002769230769230769
2018-01-26,0.00027115384615384615
2018-02-02,0.0002826923076923077
2018-02-09,0.0002826923076923077
2018-02-16,0.00031153846153846157
2018-02-23,0.0003153846153846153
2018-03-02,0.00031923076923076924
2018-03-09,0.00031923076923076924
2018-03-16,0.0003423076923076923
2018-03-23,0.0003346153846153846
2018-03-30,0.00033269230769230766
2018-04-06,0.00033269230769230766
2018-04-13,0.00033846153846153846
2018-04-20,0.0003480769230769231
2018-04-27,0.0003480769230769231
2018-05-04,0.00035961538461538466
2018-05-11,0.00035961538461538466
2018-05-18,0.0003653846153846154
2018-05-25,0.00036346153846153847
2018-06-01,0.0003711538461538461
2018-06-08,0.0003711538461538461
2018-06-15,0.0003730769230769231
2018-06-22,0.0003711538461538461
2018-06-29,0.0003711538461538461
2018-07-06,0.0003711538461538461
2018-07-13,0.00038076923076923075
2018-07-20,0.00038269230769230774
2018-07-27,0.0003846153846153846
2018-08-03,0.00039038461538461536
2018-08-10,0.00039038461538461536
2018-08-17,0.00039423076923076917
2018-08-24,0.0004019230769230769
2018-08-31,0.0004057692307692307
2018-09-07,0.0004057692307692307
2018-09-14,0.0004153846153846154
