Date,Open,High,Low,Close,Adj Close,Volume
2014-05-15,82.750000,82.750000,81.230003,81.470001,75.404793,10400
2014-05-16,81.230003,81.599998,81.220001,81.410004,75.349228,11500
2014-05-19,82.370003,82.489998,82.110001,82.269997,76.145210,2600
2014-05-20,82.139999,82.199997,81.379997,81.519997,75.451050,7600
2014-05-21,81.800003,81.830002,81.620003,81.629997,75.552849,4900
2014-05-22,81.879997,82.050003,81.879997,82.019997,75.913803,3300
2014-05-23,82.000000,82.470001,82.000000,82.459999,76.321075,5800
2014-05-27,82.910004,82.910004,82.559998,82.629997,76.478409,2700
2014-05-28,84.139999,84.139999,82.440002,82.440002,76.302559,1800
2014-05-29,82.400002,83.120003,82.400002,83.120003,76.931923,4000
2014-05-30,82.959999,83.040001,82.739998,82.900002,76.728294,2500
2014-06-02,83.389999,83.510002,82.940002,83.459999,77.246613,84100
2014-06-03,83.099998,83.230003,83.040001,83.190002,76.996742,5100
2014-06-04,83.680000,83.690002,83.449997,83.459999,77.246613,2400
2014-06-05,83.220001,84.050003,83.110001,83.900002,77.653877,8200
2014-06-06,84.349998,84.570000,84.349998,84.540001,78.246208,1500
2014-06-09,84.500000,84.620003,84.230003,84.349998,78.070351,3700
2014-06-10,84.129997,84.379997,84.070000,84.379997,78.098122,5400
2014-06-11,83.769997,84.089996,83.769997,83.870003,77.626091,3700
2014-06-12,83.919998,83.919998,83.190002,83.269997,77.070755,3100
2014-06-13,83.570000,83.809998,83.570000,83.769997,77.533539,4300
2014-06-16,83.389999,83.769997,82.480003,83.629997,77.403969,10700
2014-06-17,83.500000,84.139999,83.449997,84.099998,77.838966,15800
2014-06-18,84.580002,84.699997,84.209999,84.699997,78.394318,1900
2014-06-19,84.889999,84.970001,84.739998,84.959999,78.634933,4400
2014-06-20,84.790001,85.169998,84.720001,85.169998,79.066765,2100
2014-06-23,85.099998,85.099998,84.919998,85.019997,78.927513,6000
2014-06-24,85.129997,85.129997,84.430000,84.430000,78.379807,1800
2014-06-25,84.989998,84.989998,84.669998,84.910004,78.825394,2700
2014-06-26,84.379997,84.940002,84.379997,84.940002,78.853256,3900
2014-06-27,84.949997,85.029999,84.540001,85.029999,78.936798,7500
2014-06-30,85.110001,85.489998,85.110001,85.449997,79.326691,4600
2014-07-01,85.589996,85.809998,85.470001,85.500000,79.373131,159500
2014-07-02,85.639999,85.639999,85.190002,85.190002,79.085342,7100
2014-07-03,85.580002,85.910004,85.570000,85.910004,79.753746,32000
2014-07-07,85.940002,85.940002,85.050003,85.330002,79.215309,15000
2014-07-08,85.529999,85.529999,84.940002,85.040001,78.946075,6200
2014-07-09,85.370003,85.570000,85.099998,85.480003,79.354568,16000
2014-07-10,85.239998,85.260002,84.620003,85.260002,79.150314,8800
2014-07-11,85.750000,85.750000,85.080002,85.120003,79.020332,4600
2014-07-14,85.699997,85.699997,85.250000,85.250000,79.141029,2600
2014-07-15,85.320000,85.720001,85.169998,85.250000,79.141029,17300
2014-07-16,85.489998,85.639999,85.430000,85.639999,79.503075,1800
2014-07-17,85.680000,85.680000,85.389999,85.540001,79.410263,1700
2014-07-18,85.449997,85.940002,85.300003,85.760002,79.614479,4900
2014-07-21,86.839996,86.839996,85.180000,85.449997,79.326691,2600
2014-07-22,85.620003,85.680000,85.459999,85.459999,79.335976,2300
2014-07-23,85.389999,85.769997,85.389999,85.680000,79.540230,3000
