Source,Target,weight
洗錢,洗錢,18
洗錢,帳戶,15
洗錢,犯罪,14
洗錢,被告,16
洗錢,所得,11
洗錢,行為,12
洗錢,判決,15
洗錢,詐欺,12
洗錢,條第,15
洗錢,掩飾,9
洗錢,幫助,12
洗錢,隱匿,11
洗錢,本案,6
洗錢,制法,9
洗錢,檢察官,14
洗錢,規定,13
洗錢,條之,6
洗錢,特定,9
洗錢,本院,14
洗錢,108,14
洗錢,財產,9
洗錢,詐騙,8
洗錢,集團,10
洗錢,刑法,12
洗錢,成員,6
洗錢,告訴,9
洗錢,臺灣,13
洗錢,事實,6
洗錢,臺北,9
洗錢,萬元,8
洗錢,107,7
洗錢,證據,10
洗錢,30,8
洗錢,來源,8
洗錢,資金,6
洗錢,檢察署,7
洗錢,不法,8
洗錢,339,7
洗錢,緩刑,6
洗錢,28,6
帳戶,洗錢,15
帳戶,帳戶,29
帳戶,犯罪,20
帳戶,被告,18
帳戶,所得,15
帳戶,行為,16
帳戶,判決,20
帳戶,詐欺,17
帳戶,條第,18
帳戶,掩飾,10
帳戶,幫助,15
帳戶,隱匿,12
帳戶,本案,9
帳戶,制法,6
帳戶,檢察官,17
帳戶,規定,20
帳戶,條之,9
帳戶,資料,9
帳戶,對於,6
帳戶,他人,7
帳戶,特定,9
帳戶,本院,17
帳戶,108,12
帳戶,財產,10
帳戶,詐騙,12
帳戶,集團,15
帳戶,刑法,16
帳戶,成員,11
帳戶,告訴,13
帳戶,公務員,10
帳戶,所示,7
帳戶,臺灣,14
帳戶,附表,8
帳戶,認定,6
帳戶,事實,12
帳戶,職務,6
帳戶,臺北,9
帳戶,萬元,17
帳戶,107,7
帳戶,存摺,7
帳戶,被害人,6
帳戶,提款卡,6
帳戶,證據,14
帳戶,30,11
帳戶,密碼,6
帳戶,10,7
帳戶,來源,8
帳戶,資金,9
帳戶,不法,10
帳戶,金額,6
帳戶,339,9
帳戶,銀行,8
帳戶,匯款,8
帳戶,緩刑,7
帳戶,不詳,6
帳戶,懲戒,12
帳戶,申辯,8
帳戶,被付,9
帳戶,調查,6
犯罪,洗錢,14
犯罪,帳戶,20
犯罪,犯罪,20
犯罪,被告,18
犯罪,所得,15
犯罪,行為,16
犯罪,判決,18
犯罪,詐欺,17
犯罪,條第,17
犯罪,掩飾,10
犯罪,幫助,15
犯罪,隱匿,12
犯罪,本案,8
犯罪,制法,6
犯罪,檢察官,17
犯罪,規定,14
犯罪,條之,9
犯罪,他人,7
犯罪,特定,9
犯罪,本院,16
犯罪,108,12
犯罪,財產,9
犯罪,詐騙,12
犯罪,集團,15
犯罪,刑法,16
犯罪,成員,11
犯罪,告訴,12
犯罪,所示,7
犯罪,臺灣,12
犯罪,附表,7
犯罪,事實,8
犯罪,臺北,7
犯罪,萬元,12
犯罪,107,7
犯罪,存摺,6
犯罪,被害人,6
犯罪,提款卡,6
犯罪,證據,13
犯罪,30,10
犯罪,密碼,6
犯罪,來源,8
犯罪,資金,7
犯罪,不法,10
犯罪,339,9
犯罪,匯款,6
犯罪,緩刑,7
犯罪,不詳,6
被告,洗錢,16
被告,帳戶,18
被告,犯罪,18
被告,被告,24
被告,所得,15
被告,行為,18
被告,判決,22
被告,詐欺,17
被告,條第,21
被告,掩飾,10
被告,幫助,15
被告,隱匿,11
被告,本案,8
被告,制法,9
被告,檢察官,21
被告,規定,15
被告,條之,9
被告,他人,7
被告,特定,9
被告,本院,20
被告,108,15
被告,財產,10
被告,詐騙,12
被告,集團,15
被告,證明,6
被告,刑法,16
被告,成員,11
被告,告訴,13
被告,所示,7
被告,臺灣,16
被告,附表,7
被告,事實,10
被告,臺北,10
被告,萬元,12
